,node_module_membership,within_module_degree,betweenness,modularity,within_module_connectivity,among_module_connectivity,eigenvector_centrality,degree,node_role
chelatococcus spp.,0.35572044643758854,1,0.0,10,0,1.0,-1.508945539822964e-17,1,connector_node
afipia broomeae,-0.260526371245023,16,0.07611026871744388,0,1.7067937576912307,0.2098765432098766,0.32385209160399114,18,peripheral_node
methyloligella halotolerans,-0.23303434314885688,5,0.021816406774268386,0,-0.595767632401656,0.0,0.04319500424225072,5,peripheral_node
rhodopseudomonas oryzae,0.13393728040756542,1,0.0,5,-1.8371173070873834,1.0,0.009263787164744065,1,connector_node
porphyromonas spp.,-0.5662348296902121,4,0.0,7,0,1.0,0.0048778521116118545,4,connector_node
methylocella silvestris,0.043334920773341515,7,0.11383369059685534,0,-0.17712010693022198,0.51,0.15647965940062777,10,peripheral_node
sphingobacterium spp.,0.207813481092,11,0.03396957612245019,2,0.7312923767177981,1.0,9.605060338061724e-05,14,connector_node
nitrobacter spp.,-0.5662348296902121,4,0.0,7,0,1.0,0.004877852111611847,4,connector_node
spirosoma spp.,-0.04272077475407288,4,0.00980063923261841,0,-0.8050913951373729,0.3599999999999999,0.09082619073273299,5,peripheral_node
hartmannibacter stappia sp.,-0.8047910600114583,4,0.0,6,0,1.0,1.8723478132134783e-17,4,connector_node
aquabacterium spp.,0.2818821736553167,1,0.0,3,-0.8845379626717031,1.0,0.0024475106413152947,1,connector_node
tumebacillus sp.,0.08856249006536518,1,0.0,4,-1.118033988749895,1.0,-1.7785576208464963e-17,1,connector_node
staphylococcus aureus,-0.5662348296902121,4,0.0,7,0,1.0,0.0048778521116118415,4,connector_node
lactobacillus iners,0.6047571307573423,2,0.0,9,0,1.0,-2.2826535295508704e-17,2,connector_node
roseburia spp.,-0.21581580480263923,3,0.03538222341689397,3,0.6123724356957947,0.75,0.06320558284980919,6,connector_node
paenibacillus spp.,-0.06307180761987835,2,0.016238667416064743,3,-0.13608276348795423,1.0,0.0007089677100753072,2,connector_node
oribacterium sinus,0.0368912603516126,3,0.0,5,0.2041241452319317,1.0,0.011218143381280094,3,connector_node
flexithrix dorotheae,-0.17106512672967356,4,0.04135226352278795,3,1.3608276348795436,1.0,0.008076190419013796,4,connector_node
methylococcus capsulatus,-0.09139552341430233,4,0.06396344945745289,7,0,0.8888888888888888,0.04136487825732931,6,connector_node
methylopila sp.,-0.36735426302587504,4,0.0018590417265438397,1,-0.518343944838785,1.0,0.00046808217075330275,4,connector_node
enhydrobacter aerosaccus,-0.8870474368080672,4,0.0,6,0,1.0,1.1006747476432897e-17,4,connector_node
burkholderia ubonensis,-0.2547480290937633,1,0.0,1,-1.7743311957943024,1.0,2.4310252846496198e-05,1,connector_node
aeromonas spp.,0.021655461147854996,3,0.0,0,-1.01441515787309,0.0,0.006569802692691148,3,peripheral_node
methylocystis sp.,-0.7032718129258982,4,0.0,6,0,1.0,1.6852981817603594e-17,4,connector_node
sphingomonas faeni,-0.21872334658340592,3,0.0,0,-1.01441515787309,0.0,0.0065698026926911315,3,peripheral_node
lactobacillus helveticus,-0.5662348296902121,4,0.0,7,0,1.0,0.004877852111611874,4,connector_node
