,ace,chao1,chao1_ci,shannon,simpson,simpson_e,faith_pd,group
2G10A,11.950624628197502,11.5,"(11.030262059763976, 19.261169330502646)",2.896263210839369,0.8254723213106091,0.5208863808409607,0.8645295000000002,2G
2G10B,11.35931630353118,11.0,"(11, 11)",3.150920131088369,0.8720987654320987,0.7107757107757108,0.8645295000000002,2G
2G10C,14.863746169100414,14.0,"(13.093649057398883, 23.678164071002378)",3.0819137936755703,0.8461052897361445,0.49984224143371,0.9157815,2G
2M10B,13.237780401416765,12.5,"(11.149231194294945, 26.077276641993677)",2.6548514773385956,0.7752675386444708,0.4045214045214045,0.7250695,2M
1C20B,16.650278293135436,16.5,"(15.149231194294945, 30.077276641993677)",3.4306417344534776,0.884989269031688,0.5796560556165387,0.9433285,1C
1C20A,15.897163999141107,15.333333333333334,"(15.018627311514582, 20.964956941002143)",3.604312814665553,0.90764962346413,0.7218884120171674,0.9433285,1C
3G3A,12.308181818181819,12.0,"(9.35934729320086, 34.045409191295505)",1.9175618293864976,0.5867945966418381,0.26890043113691137,0.6767785000000001,3G
3G3B,11.527102450099328,10.5,"(9.149231194294945, 24.077276641993677)",1.8937688775556591,0.5753780718336483,0.26167068571075247,0.6767785000000001,3G
3G3C,10.215341308937369,9.333333333333334,"(9.018627311514582, 14.964956941002143)",1.782478029397881,0.5267013232514177,0.2347589726521329,0.6767785000000001,3G
3M3A,10.9446916719644,11.0,"(8.361074860241967, 32.92557912774335)",1.596867243823973,0.514189107595701,0.2573017648521005,0.3183675,3M
3M3B,7.361305169721377,7.0,"(7, 7)",2.318676547438601,0.7444444444444445,0.5590062111801243,0.5430215,3M
3M3C,6.0,6.0,"(6, 6.002444601260989)",1.9223145838694868,0.6494384736142977,0.47542771845217585,0.28369050000000007,3M
3G5A,15.761316872427983,19.0,"(13.944680381770766, 51.10812703924203)",2.9342452199107614,0.8271682868324707,0.4450750126425803,0.8422465000000001,3G
3G5B,11.284472508097913,11.0,"(11, 11)",2.928812938604446,0.836005554854185,0.5543425012247183,0.6561825000000001,3G
3G5C,12.346136259716507,12.0,"(12, 12)",2.9028333100772983,0.8207644628099173,0.46493756003842446,0.8119565,3G
3M5A,9.0,9.0,"(9, 9.04737623517116)",2.586450146470097,0.7747390672479851,0.4932551319648093,0.4774915,3M
3M5B,13.1,12.333333333333334,"(12.018627311514582, 17.964956941002143)",3.0787113233495362,0.8582128099173554,0.5877352762598664,0.8119565,3M
3M5C,13.403772752344182,12.5,"(11.149231194294945, 26.077276641993677)",2.6103336641073636,0.761985267479773,0.3819473271528066,0.7671125000000001,3M
3G7A,13.710681818181818,13.0,"(12.093649057398883, 22.678164071002378)",2.6432568711960087,0.762396694214876,0.3507246376811594,0.8044655000000001,3G
3G7B,14.970454545454546,13.6,"(13.050626431227512, 20.11091007742943)",2.785862686185006,0.8051851851851852,0.39485229599298044,0.8422465000000001,3G
3G7C,16.62314049586777,15.0,"(13.249903382590167, 29.00618590489368)",2.8777270461304787,0.8201876073457524,0.42779630362290166,0.8422465000000001,3G
3M7A,12.424,12.0,"(12, 12)",2.9701565770113216,0.8309897241752299,0.4930666666666666,0.8048935000000002,3M
3M7B,15.554464285714285,13.75,"(13.066559447515466, 21.45109178331596)",3.1920908766308895,0.8716425619834711,0.5992880359077541,0.9075705000000001,3M
3M7C,12.94999376480858,12.5,"(12.030262059763976, 20.261169330502646)",3.2267070239293427,0.8777717685235262,0.6817846607669616,0.8119565,3M
3M10A,16.950497274821597,16.0,"(15.093649057398883, 25.678164071002378)",3.5002931756995936,0.8972107438016529,0.6485762144053601,0.9466835,3M
3M10B,13.168241965973534,12.333333333333334,"(12.018627311514582, 17.964956941002143)",2.993664870848827,0.8390354753187729,0.5177124183006535,0.8287755000000001,3M
3M10C,17.180495867768595,19.0,"(13.944680381770766, 51.10812703924203)",3.0828559626542935,0.8554475445019568,0.5321464561639234,0.8422465000000001,3M
3G10A,11.485558604623614,11.0,"(11, 11)",2.7155751529777805,0.778150826446281,0.40977881257275894,0.7909945,3G
3G10B,13.42578125,14.0,"(11.356675086972432, 36.233049149562895)",2.7654041710001844,0.8123456790123457,0.4844497607655503,0.8235155000000001,3G
2M10A,17.502506858386155,15.5,"(15.040234041461845, 21.213643743372987)",3.1403373765822606,0.8438328493877036,0.4268930207491242,0.9379025000000001,2M
2M10C,11.09809558030902,10.5,"(10.030262059763976, 18.261169330502646)",2.23488435669233,0.6792355371900827,0.3117552334943639,0.6837255000000001,2M
