otu name	16rRNA	Percent Homology	evalue	bitscore	homology extract gibbsfree_otu/gibbsfree_homolog	total length gibbsfree_otu/otu_lenth/gibbsfree_homolog/homolog_length	Olin1	Olin2	Olin3	Olin4	Olin5	Olin6	Olin7	Olin8	Olin9	Olin10	Olin11	Olin12	Olin13	Olin14	Olin15	Olin16	Olin17	Olin18	Olin19	Olin20	Olin21	Olin22	Olin23	Olin24	Olin25	Olin26	Olin27	Olin28	Olin29	Olin30	Olin31	Olin32	Olin33	Olin34	Olin35	Olin36	Olin37	Olin38	Olin39	Olin40	Olin41	Olin42	Olin43	Olin44	Olin45	Olin46	Olin47	Olin48	Olin49	Olin50	Olin51	Olin52	Olin53	Olin54	Olin55	Olin56	Olin57	Olin58	Olin59	Olin60	Olin61	Olin62	Olin63	Olin64	Olin65	Olin66	Olin67	Olin68	Olin69	Olin70	Olin71	Olin72	Olin73	Olin74	Olin75	Olin76	Olin77	Olin78	Olin79	Olin80	Olin81	Olin82	Olin83	Olin84	Olin85	Olin86	Olin87	Olin88	
OTU_11	uncultured acetobacter sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodospirillales;f__acetobacteraceae;g__acetobacter;s__acetobacter spp.;superkingdom__bacteria	88.4097035040431	4.00772688130528e-131	471.965561275181			6420	885	1365	1527	793	1278	1417	1350	947	289	707	1349	411	246	370	293	263	2259	1424	902	600	576	172	179	228	6564	8284	1399	2834	5853	1840	1227	2033	710	595	468	190	314	190	323	192	1219	5287	1281	515	806	517	408	2837	4801	3575	1422	2360	14	1580	2084	9110	2765	4926	2843	3089	3379	588	232	176	57	91	116	2415	5985	11292	169	1803	135	10000	9041	12080	1086	3876	3776	13597	3052	4318	8651	8167	948	21902	4545	
OTU_12	paludibacter propionicigenes ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__porphyromonadaceae;g__paludibacter;s__paludibacter propionicigenes;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.4732824427481	0	682.959711005192			16436	4058	6115	4063	4099	5534	9750	7592	8184	757	1958	5989	459	250	523	1588	905	2522	1090	198	185	156	1403	391	464	9774	8038	200	607	1001	15587	2290	4260	866	636	165	128	162	515	695	2052	162	1424	208	40	58	4481	1103	112	76	107	6252	3014	1	1054	241	717	88	176	1284	7325	6307	26	19	27	32	70	89	46	85	122	165	476	210	317	109	135	172	995	394	2460	714	377	248	86	59	6005	181	
OTU_13	uncultured bacteroides sp. ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__bacteroidaceae;g__bacteroides;s__bacteroides spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.469387755102	0	681.156342204081			4254	1032	1325	942	753	975	2357	1640	1685	226	431	1698	72	54	76	286	141	2931	1466	39	38	28	170	107	65	2581	3799	34	106	118	1746	269	636	1208	1455	58	34	41	63	763	484	1208	2866	61	75	70	1149	988	141	157	549	2694	2431	5	2572	3902	1284	598	1459	7097	4732	1548	43	67	70	100	119	68	568	2645	5541	1535	3764	385	805	3301	2791	1910	1757	2363	5600	2782	2615	1688	2453	31	6167	1242	
OTU_14	uncultured ancalomicrobium sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__hyphomicrobiaceae;g__ancalomicrobium;s__ancalomicrobium spp.;superkingdom__bacteria	98.4771573604061	0	684.763079806303			112	288	255	673	329	292	25	29	24	27	107	309	341	146	180	32	39	81	42	132	54	63	23	11	22	24	49	97	41	129	47	22	37	25	81	178	190	163	150	613	754	19	46	77	79	124	578	488	259	149	207	629	222	0	254	786	175	126	143	224	68	47	96	57	111	60	59	68	68	150	177	135	113	55	156	191	184	83	176	99	231	115	131	344	126	9	3613	394	
OTU_15	uncultured spirochaeta sp. ;k__bacteria;p__spirochaetes;c__spirochaetia;o__spirochaetales;f__spirochaetaceae;g__spirochaeta;s__spirochaeta spp.;superkingdom__bacteria	99.7448979591837	0	702.796767817415			1924	253	214	141	125	121	179	146	90	43	256	591	33	22	31	40	38	542	211	19	19	25	31	16	28	1196	1363	10	20	33	460	93	315	104	103	16	15	18	23	36	17	100	199	18	19	12	14	9	9	15	24	22	5	3	773	40	11	15	7	8	3098	2639	9	9	10	14	13	7	2	10	13	18	13	12	15	15	14	6	10	15	0	0	3	1	58	1	0	0	
OTU_16	cu927348.1 towards definition core microorganisms involved digestion mesophilic anaerobic digester which treats municipal wastewater sludge clone  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__rhodocyclales;f__rhodocyclaceae;g__rhodocyclus;s__rhodocyclus tenuis;superkingdom__bacteria	97.2222222222222	0	664.92602299408			72	10	24	12	8	10	9	11	6	1	28	86	3	4	4	2	5	54	34	5	3	0	1	1	2	15	24	11	8	6	24	18	22	20	22	20	6	14	19	74	88	67	90	71	60	101	94	137	312	296	331	277	170	5	170	378	267	96	112	118	45	37	17	23	20	17	15	27	88	271	363	302	250	50	238	318	360	221	217	284	329	92	113	254	157	24	428	127	
OTU_17	cloacibacterium normanense ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__cloacibacterium;s__cloacibacterium normanense;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.7448979591837	0	702.796767817415			6	4	6	7	3	9	8	28	13	1	3	0	2	3	0	6	2	2	0	0	0	0	0	0	1	0	0	0	0	1	2	4	2	6	35	12	5	10	13	36	4	0	0	0	0	1	2	7	0	0	3	4	1	0	1	2	0	0	1	2	1	1	4	0	1	0	0	1	0	0	1	5	3	0	0	1	0	0	0	2	31	14	21	51	21	4080	112	26	
OTU_18	ay267192.1 pseudomonas veronii str. 16_6a  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__pseudomonadaceae;g__pseudomonas;s__pseudomonas veronii;superkingdom__bacteria;species group  pseudomonas fluorescens group	100	0	713.616980624082			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	10	0	8	7	7	3	13	7	2	4	6	12	7	3877	3	8	5	5	4	8	5	2	3	4	5	3	7	6	5	2	5	10	10	8	0	7	10	9	7	8	0	0	0	0	1	0	3	1	
OTU_19	fj154804.1 streptococcus salivarius str. k12  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus salivarius;superkingdom__bacteria	99.746835443038	0	708.206874220749			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	1	2	1	1	5	2	1	1	3	1	2	2429	0	1	2	0	0	2	2	1	1	1	1	2	3	3	2	2	1	2	4	1	0	1	2	7	2	4	0	0	0	1	0	0	0	1	
OTU_20	propionicimonas paludicola ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__nocardioidaceae;g__propionicimonas;s__propionicimonas paludicola;superkingdom__bacteria;subclass  actinobacteridae;suborder__propionibacterineae	99.4962216624685	0	708.206874220749			20	60	17	32	11	5	8	12	8	1	21	24	2	7	6	2	4	17	6	1	0	5	0	2	2	37	7	2	0	1	5	1	3	343	41	4	2	1	7	18	3	36	25	5	2	2	4	11	7	9	67	3	4	630	56	3	2	3	5	11	31	67	3	9	9	8	9	5	6	78	72	35	50	23	15	35	40	26	39	50	7	12	3	14	11	0	28	5	
OTU_21	uncultured stenotrophomonas sp. ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__xanthomonadaceae;g__stenotrophomonas;s__stenotrophomonas spp.;superkingdom__bacteria	100	0	715.420349425194			0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	17	11	19	17	2149	24	12	
OTU_22	uncultured ruminococcus sp. ;k__bacteria;p__firmicutes;c__clostridia;o__clostridiales;f__ruminococcaceae;g__ruminococcus;s__ruminococcus spp.;superkingdom__bacteria	94.4444444444444	1.49500074140186e-174	616.235065364077			551	50	81	98	62	81	97	91	50	12	15	69	12	6	8	12	17	32	20	4	11	6	2	4	10	54	170	5	4	4	67	38	102	3	3	6	6	4	5	6	0	2	2	0	1	0	0	2	1	1	2	1	0	0	10	0	2	1	0	0	50	85	0	2	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	
OTU_23	ab079679.1 rhodopseudomonas sp. hmd89  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__bradyrhizobiaceae;g__afipia;s__afipia sp.;superkingdom__bacteria	97.7157360406091	0	670.336129397414			59	24	39	65	36	61	10	24	10	15	36	44	99	90	90	20	12	40	29	83	89	79	7	5	10	34	27	50	29	66	24	29	27	21	23	87	97	112	49	63	60	13	21	28	34	52	58	77	70	78	81	62	42	0	54	66	70	98	62	42	67	49	9	6	8	62	26	18	23	45	28	79	52	58	59	43	50	59	61	54	69	25	67	68	29	2	196	86	
OTU_24	ab079679.1 rhodopseudomonas sp. hmd89  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__bradyrhizobiaceae;g__afipia;s__afipia sp.;superkingdom__bacteria	99.2063492063492	0	668.532760596302			35	22	30	33	10	21	6	10	9	0	20	47	21	19	13	8	10	31	22	12	18	11	2	1	8	16	14	8	8	14	27	15	16	8	4	26	21	38	14	18	26	4	8	9	12	10	24	19	31	21	36	41	16	0	9	19	25	36	17	17	37	35	1	3	1	4	5	1	2	6	3	5	8	4	12	2	12	5	10	5	9	5	4	11	7	0	67	40	
OTU_25	azospirillum amazonense ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodospirillales;f__rhodospirillaceae;g__nitrospirillum;s__azospirillum amazonense;superkingdom__bacteria	85.8611825192802	1.30653361375744e-124	450.325135661847			1	0	2	1	4	3	2	1	3	1	70	53	2	1	1	0	1	97	156	0	0	0	1	1	2	23	27	0	0	1	4	1	2	183	106	0	3	14	4	3	0	16	70	101	105	68	0	0	30	43	32	8	63	0	0	4	3	1	0	42	1	1	13	16	18	2	17	8	1	8	12	12	37	28	7	4	12	20	3	37	11	1	4	1	4	0	1	0	
OTU_26	fj596644.1 acinetobacter junii str. p1  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__moraxellaceae;g__acinetobacter;s__acinetobacter junii;superkingdom__bacteria	100	0	713.616980624082			1	0	4	1	3	2	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	1	1	2	4	6	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	12	6	11	16	4	1305	22	10	
OTU_27	uncultured ancalomicrobium sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__hyphomicrobiaceae;g__ancalomicrobium;s__ancalomicrobium spp.;superkingdom__bacteria	97.4619289340102	0	666.729391795191			10	4	2	12	7	4	1	2	2	2	3	8	22	15	6	0	4	7	3	22	12	8	0	1	0	2	1	13	4	24	3	4	1	0	1	30	12	9	14	17	20	0	2	7	6	5	40	17	17	13	7	23	10	0	1	5	19	8	9	20	11	2	3	0	0	3	2	1	3	3	4	4	7	1	5	4	5	2	5	8	16	14	15	30	20	2	591	127	
OTU_28	uncultured rhodopseudomonas sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__bradyrhizobiaceae;g__rhodopseudomonas;s__rhodopseudomonas spp.;superkingdom__bacteria	92.1518987341772	2.3580990060568e-159	565.740738932964			1	5	5	5	3	2	2	4	2	2	27	31	1	4	1	2	3	25	20	5	6	8	1	0	1	24	11	2	0	3	4	3	3	36	30	8	7	44	5	3	7	8	39	43	36	40	9	10	56	83	63	17	19	0	7	8	28	32	23	15	25	21	2	7	6	5	9	1	12	20	23	17	39	24	27	18	21	39	14	27	12	2	8	7	4	0	4	1	
OTU_29	dechloromonas agitata ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__rhodocyclales;f__rhodocyclaceae;g__dechloromonas;s__dechloromonas agitata;superkingdom__bacteria	99.7474747474748	0	710.01024302186			2	2	3	2	1	0	0	2	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	1	2	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	3	1	10	7	9	9	6	1157	21	9	
OTU_30	uncultured bacteroides sp. ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__bacteroidaceae;g__bacteroides;s__bacteroides spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.3827493261456	0	643.285597380745			76	32	29	22	13	11	49	39	34	1	6	26	1	1	0	0	4	58	28	0	0	0	2	0	2	48	105	0	4	1	30	10	7	15	27	2	1	0	1	7	22	41	108	0	5	1	32	29	5	11	18	61	59	0	79	142	31	22	62	224	160	54	1	0	2	1	3	0	19	88	167	29	108	10	27	109	95	58	53	78	114	76	55	40	63	1	114	23	
OTU_31	zoogloea sp. enrichment culture clone m_1 ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__rhodocyclales;f__rhodocyclaceae;g__zoogloea;s__zoogloea sp.;superkingdom__bacteria	99.7474747474748	0	710.01024302186			0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	6	4	10	4	1114	21	8	
OTU_32	gq046324.1 topographical and temporal human skin microbiome skin volar forearm clone nbw996b10c1  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__propionibacteriaceae;g__propionibacterium;s__propionibacterium acnes;superkingdom__bacteria;subclass  actinobacteridae;suborder__propionibacterineae	99.7481108312343	0	711.813611822971			1	3	1	0	0	0	4	4	2	2	1	1	0	0	1	4	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	2	6	13	5	0	7	16	42	4	1	1	1	2	1	7	6	2	0	2	1	1	828	3	1	0	1	1	0	0	2	0	0	4	0	4	0	0	3	2	1	2	2	2	0	1	0	1	3	2	1	1	0	2	136	15	0	
OTU_33	uncultured acidovorax sp. ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__comamonadaceae;g__acidovorax;s__acidovorax spp.;superkingdom__bacteria	100	0	708.206874220749			2	1	3	5	4	0	0	7	3	0	5	2	1	2	1	3	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	9	3	0	6	8	10	3	0	0	0	0	0	3	3	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	0	1	3	0	1	1	0	0	1	4	9	6	10	7	4	836	29	10	
OTU_34	d25313.1 rhodoplanes roseus str. 941  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__hyphomicrobiaceae;g__rhodoplanes;s__rhodoplanes elegans;superkingdom__bacteria	99.492385786802	0	702.796767817415			27	8	15	6	5	5	3	4	3	0	1	13	1	5	2	1	1	7	2	6	1	5	1	0	1	0	0	10	5	16	30	19	12	4	3	10	8	27	19	24	13	0	1	6	4	11	21	19	11	8	14	12	7	0	33	13	15	13	11	7	33	12	0	0	2	5	1	4	9	2	11	18	8	7	15	12	5	14	15	12	32	17	48	85	26	1	106	29	
OTU_35	uncultured acetobacter sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodospirillales;f__acetobacteraceae;g__acetobacter;s__acetobacter spp.;superkingdom__bacteria	87.9656160458453	8.67668921531192e-121	437.701554054068			11	2	2	3	1	2	1	1	0	0	2	1	1	0	1	2	0	2	1	2	1	0	1	0	0	17	13	0	4	7	3	3	3	4	0	0	0	1	0	0	1	2	6	1	1	0	1	1	5	7	3	3	5	0	2	1	11	9	6	6	3	1	0	0	0	0	1	0	8	7	16	2	4	1	17	12	29	4	7	6	14	4	6	14	11	1	26	4	
OTU_36	pontibacter salisaro ;k__bacteria;p__bacteroidetes;c__cytophagia;o__cytophagales;f__cytophagaceae;g__pontibacter;s__pontibacter salisaro;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	83.3333333333333	4.87329999579014e-111	405.240915634066			11	6	5	1	4	11	4	4	5	3	2	32	3	4	4	8	6	3	1	0	7	2	2	3	13	12	10	2	4	17	12	102	76	18	16	5	10	4	8	11	0	0	17	1	2	1	1	3	4	4	13	1	0	0	14	1	33	22	21	4	4	3	4	4	1	1	0	0	5	0	18	30	13	6	16	5	6	13	46	44	37	14	24	16	28	1	9	2	
OTU_37	barnesiella viscericola dsm 18177 ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__porphyromonadaceae;g__barnesiella;s__barnesiella viscericola;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	88.0407124681934	1.48123140722799e-136	489.999249286293			1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0	0	1	2	3	0	1	3	2	9	3	4	1	0	0	0	0	0	0	2	21	1	0	0	0	1	14	12	28	7	4	0	29	19	78	65	44	5	6	7	3	2	1	0	0	0	11	5	40	35	24	27	63	22	12	18	75	51	46	32	32	59	29	2	13	2	
OTU_38	dq414679.1 achromobacter xylosoxidans  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__alcaligenaceae;g__bordetella;s__bordetella hinzii;superkingdom__bacteria	99.746192893401	0	706.403505419638			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1	6	4	754	7	4	
OTU_39	pleomorphomonas sp. r5_392 ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__methylocystaceae;g__pleomorphomonas;s__pleomorphomonas sp.;superkingdom__bacteria	93.1818181818182	7.21347957925825e-166	587.381164546298			3	2	1	16	2	5	0	0	0	3	1	0	8	6	9	1	2	1	0	7	11	13	0	0	0	3	2	5	9	35	2	3	6	1	4	3	4	5	1	7	1	1	9	1	3	9	5	6	10	13	9	6	7	0	6	6	22	11	8	2	6	2	5	3	2	2	0	3	11	17	23	6	12	3	32	28	30	10	11	11	29	8	16	57	9	0	27	23	
