otu name,Name,k__,p__,c__,o__,f__,g__,s__,superkingdom__,superphylum__,subclass,suborder,subphylum__
OTU_61,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_62,pontibacter sp. nrtx ,k__bacteria,p__bacteroidetes,c__cytophagia,o__cytophagales,f__cytophagaceae,g__pontibacter,s__pontibacter sp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_63,ab079679.1 rhodopseudomonas sp. hmd89  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__afipia,s__afipia sp.,superkingdom__bacteria,,,,
OTU_64,aj563927.1 methylocella palustris str. h4  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__beijerinckiaceae,g__methylocella,s__methylocella palustris,superkingdom__bacteria,,,,
OTU_65,uncultured fibrobacter sp. ,k__bacteria,p__fibrobacteres,c__fibrobacteria,o__fibrobacterales,f__fibrobacteraceae,g__fibrobacter,s__fibrobacter spp.,superkingdom__bacteria,superphylum__fibrobacteres/acidobacteria group,,,
OTU_66,eu183233.1 sphingobium yanoikuyae str. xj  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__sphingomonadales,f__sphingomonadaceae,g__sphingobium,s__sphingobium yanoikuyae,superkingdom__bacteria,,,,
OTU_67,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_68,eu767784.1 pervasive effects antibiotic on human gut microbiota deep sequencing fecal clone c3_121  ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides fragilis,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_69,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_70,uncultured enterobacter sp. ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__enterobacteriales,f__enterobacteriaceae,g__enterobacter,s__enterobacter spp.,superkingdom__bacteria,,,,
OTU_71,rhodoblastus acidophilus ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodoblastus,s__rhodoblastus acidophilus,superkingdom__bacteria,,,,
OTU_72,phaeospirillum sp. ak32 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__phaeospirillum,s__phaeospirillum sp.,superkingdom__bacteria,,,,
OTU_73,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_74,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_75,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_76,uncultured acetobacter sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__acetobacteraceae,g__acetobacter,s__acetobacter spp.,superkingdom__bacteria,,,,
OTU_77,am947938.1 rhodopseudomonas pangongensis str. ja310  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodopseudomonas,s__rhodopseudomonas pangongensis,superkingdom__bacteria,,,,
OTU_78,aj318524.1 rhodovibrio sodomensis str. sg3105  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__rhodovibrio,s__rhodovibrio sodomensis,superkingdom__bacteria,,,,
OTU_79,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_80,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_81,rhizobium petrolearium ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__rhizobiaceae,g__rhizobium,s__rhizobium petrolearium,superkingdom__bacteria,,,,
OTU_82,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_83,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_84,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_85,uncultured rhodothermus sp. ,k__bacteria,p__bacteroidetes,c__bacteroidetes,o__bacteroidetes order ii. incertae sedis,f__rhodothermaceae,g__rhodothermus,s__rhodothermus spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_86,uncultured chlorobium sp. ,k__bacteria,p__chlorobi,c__chlorobia,o__chlorobiales,f__chlorobiaceae,g__chlorobium,s__chlorobium spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_87,ab079634.1 rhodopseudomonas palustris va2_2  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodopseudomonas,s__rhodopseudomonas palustris,superkingdom__bacteria,,,,
OTU_88,barnesiella viscericola dsm 18177 ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__porphyromonadaceae,g__barnesiella,s__barnesiella viscericola,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_89,rhodoblastus acidophilus ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodoblastus,s__rhodoblastus acidophilus,superkingdom__bacteria,,,,
OTU_90,uncultured acetobacter sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__acetobacteraceae,g__acetobacter,s__acetobacter spp.,superkingdom__bacteria,,,,
OTU_91,pleomorphomonas sp. r5_392 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas sp.,superkingdom__bacteria,,,,
OTU_92,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_93,eu765316.1 pervasive effects antibiotic on human gut microbiota deep sequencing fecal clone b3_561  ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides caccae,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_94,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_95,uncultured prolixibacter sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__prolixibacteraceae,g__prolixibacter,s__prolixibacter spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_96,eu466855.1 african elephant feces clone afel2_aao30d07  ,k__bacteria,p__firmicutes,c__clostridia,o__clostridiales,f__eubacteriaceae,g__eubacterium,s__eubacterium rectale,superkingdom__bacteria,,,,
OTU_97,No hits found,,,,,,,,,,,,
OTU_98,gu339183.1 pontibacter sp. str. hmd3125  ,k__bacteria,p__bacteroidetes,c__cytophagia,o__cytophagales,f__cytophagaceae,g__pontibacter,s__pontibacter korlensis,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_99,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_100,atopostipes sp. 17.2 aw ,k__bacteria,p__firmicutes,c__bacilli,o__lactobacillales,f__carnobacteriaceae,g__atopostipes,s__atopostipes sp.,superkingdom__bacteria,,,,
OTU_101,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_102,am947938.1 rhodopseudomonas pangongensis str. ja310  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodopseudomonas,s__rhodopseudomonas pangongensis,superkingdom__bacteria,,,,
OTU_103,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_104,rhodoblastus acidophilus ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodoblastus,s__rhodoblastus acidophilus,superkingdom__bacteria,,,,
OTU_105,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_106,uncultured spirochaeta sp. ,k__bacteria,p__spirochaetes,c__spirochaetia,o__spirochaetales,f__spirochaetaceae,g__spirochaeta,s__spirochaeta spp.,superkingdom__bacteria,,,,
OTU_107,eu597423.1 rhodopseudomonas palustris str. rld_119  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodopseudomonas,s__rhodopseudomonas palustris,superkingdom__bacteria,,,,
OTU_108,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_109,paludibacter propionicigenes ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__porphyromonadaceae,g__paludibacter,s__paludibacter propionicigenes,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_110,rhodoblastus acidophilus ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodoblastus,s__rhodoblastus acidophilus,superkingdom__bacteria,,,,
OTU_111,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_112,No hits found,,,,,,,,,,,,
OTU_113,rhodopseudomonas palustris ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodopseudomonas,s__rhodopseudomonas palustris,superkingdom__bacteria,,,,
OTU_114,cu924338.1 towards definition core microorganisms involved digestion mesophilic anaerobic digester which treats municipal wastewater sludge clone  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas spp.,superkingdom__bacteria,,,,
OTU_115,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_116,uncultured acetobacter sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__acetobacteraceae,g__acetobacter,s__acetobacter spp.,superkingdom__bacteria,,,,
OTU_117,am490633.1 ochrobactrum intermedium str. tk 14  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__brucellaceae,g__ochrobactrum,s__ochrobactrum intermedium,superkingdom__bacteria,,,,
OTU_118,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_119,af025373.1 citrobacter werkmanii str. cdc 0876_58  ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__enterobacteriales,f__enterobacteriaceae,g__citrobacter,s__citrobacter werkmanii,superkingdom__bacteria,,,,
