,node_role,betweenness,within_module_connectivity,within_module_degree,degree,among_module_connectivity,eigenvector_centrality,node_module_membership,modularity
enterobacter spp.,connector_node,0.000369694041813829,0,5,6,0.9722222222222222,0.0026715243125538315,0.795417862166584,5
prolixibacter spp.,connector_node,0.03347618153513255,-1.2390876300958154,10,13,1.0,3.720036378822595e-05,-0.2630853154045803,1
cloacibacterium normanense,peripheral_node,0.0022534430096096307,0.6186293443441325,28,28,0.0,0.1806523862597118,0.07392889170949436,0
rhodopseudomonas rhenobacensis,connector_node,0.017369348477836402,0,5,6,1.0,0.0010763772581062353,0.7320909697724549,5
pleomorphomonas sp.,peripheral_node,0.0026367359088546884,-1.601416387841194,5,5,0.0,0.010353124195608885,-0.26031857648335816,0
citrobacter spp.,connector_node,0.01434920634920635,-1.1043152607484652,2,2,1.0,7.999386992981818e-05,0.2559288558906999,4
bradyrhizobium sp.,connector_node,0.11361388016574223,-0.6501579146712448,3,3,1.0,8.963211845876679e-06,0.6136727054200015,2
acidovorax caeni,peripheral_node,0.08201964699429075,1.0047242542894068,32,33,0.05968778696051413,0.1962875614372657,0.16285771271600166,0
fibrobacter spp.,peripheral_node,0.09062554250014533,-0.2500842030327343,19,19,0.0,0.07536571169548814,0.20956540233994883,0
chlorobium spp.,peripheral_node,0.002779735255925731,-1.6979401153275124,4,4,0.0,0.009624954720569913,-0.2272331756800865,0
bradyrhizobium yuanmingense,peripheral_node,0.000597126389629033,0.6186293443441325,28,28,0.0,0.18425024210379268,-0.05507176279171605,0
bradyrhizobium spp.,connector_node,0.0,-1.120224067222408,2,2,1.0,0.0032823243800342316,-0.6693721752843271,3
rhodopseudomonas sp.,peripheral_node,0.0004232635262877532,-1.601416387841194,5,5,0.0,0.019991289002767896,0.2560288248138306,0
inquilinus spp.,peripheral_node,0.022867329020905477,0.6186293443441325,28,29,0.06777645659928644,0.1817588979809866,0.04397408812325779,0
dechloromonas agitata,peripheral_node,0.020364515304444115,0.9082005268030882,31,31,0.0,0.1835951942812973,0.2048743326832532,0
acidovorax spp.,peripheral_node,0.0037197628927911393,0.13601070691253986,23,24,0.0815972222222221,0.15726243608853213,0.11845990056895478,0
opitutus sp.,connector_node,0.0,-1.356043650600025,1,1,1.0,1.214218068175803e-08,0.24310939105194682,2
methylocella palustris,peripheral_node,0.000972204966314767,0.6186293443441325,28,28,0.0,0.18226621019793862,-0.08808750399214893,0
beijerinckia spp.,connector_node,0.0,0,1,1,1.0,3.63517669453447e-37,-0.49881490359841113,9
rhodocyclus spp.,peripheral_node,0.0006430606430606428,-0.6361791129780084,15,16,0.12109375,0.10494909407650328,-0.04342803745502605,0
bradyrhizobium elkanii,peripheral_node,0.006153665096789215,0.8116767993167696,30,31,0.06347554630593122,0.19569903612698453,0.052119554731087835,0
ochrobactrum anthropi,connector_node,0.004658185121848646,0.8842579905683778,23,23,1.0,2.0873512580720346e-05,-0.5549872346179455,1
nitrospirillum azospirillum amazonense,connector_node,0.020943833987786577,1.2109265475936384,25,25,1.0,2.365146187538029e-05,-0.45623841497424933,1
acinetobacter junii,peripheral_node,0.017385942944175524,0.522105616857814,27,27,0.0,0.16105835814679903,0.17613990689175466,0
propionibacterium acnes,connector_node,0.016311856205833794,1.4674992931150956,9,9,1.0,1.1007187731609612e-05,-0.41633095040079177,2
brevundimonas sp.,connector_node,0.004450392914056438,0.7209237120557476,22,22,1.0,2.0376080769493147e-05,-0.5622969511233874,1
rhizobium petrolearium,connector_node,0.025782589471735298,-0.5857505160452944,14,15,1.0,1.2230347951450962e-05,-0.7125488482955493,1
escherichia vulneris,connector_node,0.004450392914056438,0.7209237120557476,22,22,1.0,2.0376080769493147e-05,-0.5791251763340867,1
brevundimonas spp.,connector_node,0.026718620051503522,0.3942551550304871,20,20,1.0,2.7183532510039015e-05,-0.3643252285620694,1
parabacteroides distasonis,connector_node,0.03272788975431633,0.4417261042993863,4,5,0.96,0.002176465385643424,0.2260102569600978,4
nitrobacter hamburgensis,connector_node,0.0,0,3,3,1.0,7.8064825091034655e-28,-0.10201679402532819,6
methylocystis heyerii,connector_node,1.8140589569160997e-05,-0.2590819590200339,16,16,1.0,1.390882435279529e-05,-0.6713058209158554,1
micrococcus luteus,connector_node,0.0011123204837490551,0.7616135571863155,7,7,1.0,1.853029882566627e-06,-0.343895805993485,2
delftia sp.,connector_node,0.000369694041813829,0,5,6,0.9722222222222222,0.0026715243125538315,0.5771670333529592,5
methylobacillus sp.,connector_node,0.01841269841269841,0.9801960588196068,5,5,1.0,0.00013153447865895356,-0.9229324233521887,3
pseudomonas veronii,connector_node,0.02857142857142857,-0.6501579146712448,3,3,1.0,3.3020358331150045e-07,0.4260471133834653,2
streptococcus salivarius,connector_node,0.0,-1.356043650600025,1,1,1.0,1.214218068175803e-08,0.7348931014228738,2
stenotrophomonas spp.,peripheral_node,0.03388696501292875,0.8116767993167696,30,31,0.06347554630593122,0.17789092083344907,0.2037596296599235,0
zoogloea sp.,peripheral_node,0.024095644248867436,1.0047242542894068,32,32,0.0,0.18922058430349145,0.16552878412573052,0
bordetella hinzii,peripheral_node,0.020074727143272263,0.13601070691253986,23,24,0.0815972222222221,0.13258073658387667,0.2168621812661681,0
cytophaga spp.,connector_node,0.026718620051503522,0.3942551550304871,20,20,1.0,2.7183532510039015e-05,-0.4118690596409014,1
rhizobium straminoryzae,connector_node,0.05843872106859018,0.3942551550304871,20,21,1.0,1.548146804448779e-05,-0.5316374946911097,1
methanosaeta sp.,connector_node,0.0,0,1,1,1.0,3.63517669453447e-37,0.11281021426075195,10
pontibacter korlensis,peripheral_node,0.0,-1.6979401153275124,4,4,0.0,0.02555176804271845,-0.01782044580933393,0
bacteroides fragilis,peripheral_node,0.000597126389629033,0.6186293443441325,28,28,0.0,0.18425024210379268,-0.1156129372536348,0
sphingobium yanoikuyae,peripheral_node,0.09489970029870247,-1.2153214778959198,9,14,0.586734693877551,0.045317493072667935,0.26104977857332734,0
rhodothermus spp.,connector_node,0.004450392914056438,0.7209237120557476,22,22,1.0,2.0376080769493147e-05,-0.6014279411677748,1
rhodovibrio sodomensis,connector_node,0.026718620051503522,0.3942551550304871,20,20,1.0,2.7183532510039015e-05,-0.3284135247451419,1
rhizobium sp.,connector_node,0.08831514783475179,-1.003100782635635,2,4,1.0,1.6401131368747284e-06,0.3529921512226699,2
enterobacter sp.,connector_node,0.014767996154837353,1.047592269081008,24,24,1.0,2.09522548406897e-05,-0.5382827233191391,1
gemmatimonas spp.,connector_node,0.026718620051503522,0.3942551550304871,20,20,1.0,2.7183532510039015e-05,-0.3838659052774949,1
bacteroides caccae,connector_node,0.06117233419876077,1.2147467868233122,5,6,0.9722222222222222,0.0021792940492882692,0.18140924465490335,4
eubacterium rectale,connector_node,0.0,-2.5457618581968573,2,2,1.0,8.121511015791622e-07,-0.6112723688365911,1
citrobacter sp.,connector_node,0.0,0,1,1,1.0,3.63517669453447e-37,-0.48574443511737264,7
hydrogenophaga spp.,peripheral_node,0.005502405529473228,0.7151530718304511,29,30,0.06555555555555559,0.19101096162448733,0.004718174117375231,0
atopostipes sp.,connector_node,0.0,0,3,3,1.0,7.8064825091034655e-28,-0.10201679402532819,6
rhodovibrio spp.,connector_node,0.0,0,1,1,1.0,3.63517669453447e-37,-0.027966313984657303,7
pseudochrobactrum kiredjianiae,connector_node,0.0,0.055727821257535295,5,5,1.0,1.1616299024577701e-06,-0.38413768534704984,2
steroidobacter spp.,connector_node,0.0,-1.356043650600025,1,1,1.0,7.491784289175715e-08,0.23357434168262703,2
oligotropha carboxidovorans,peripheral_node,0.0027455851266624727,-1.1187977504096012,10,11,0.17355371900826455,0.04608938214246639,0.1760906718592723,0
salinibacter spp.,peripheral_node,0.09784022139705284,-1.1187977504096012,10,12,0.30555555555555547,0.056668501386385205,0.39832198208096353,0
pantoea agglomerans,connector_node,0.0,0,1,1,1.0,3.63517669453447e-37,-0.686654502690991,8
chelatococcus spp.,connector_node,1.8140589569160997e-05,-0.2590819590200339,16,16,1.0,1.3908824352795291e-05,-0.6713058209158554,1
streptococcus sanguinis,connector_node,0.0,0,1,1,1.0,3.63517669453447e-37,-0.7575895783310693,9
afipia broomeae,connector_node,0.026718620051503522,0.3942551550304871,20,20,1.0,2.7183532510039015e-05,-0.3838659052774949,1
prevotella sp.,connector_node,0.0,0,3,3,1.0,7.8064825091034655e-28,-0.10201679402532819,6
thioalkalivibrio spp.,connector_node,0.02052243313383059,1.047592269081008,24,24,1.0,2.3154030064153094e-05,-0.49671579188565856,1
methyloligella halotolerans,connector_node,1.8140589569160997e-05,-0.2590819590200339,16,16,1.0,1.3908824352795291e-05,-0.6713058209158554,1
rhodopseudomonas oryzae,connector_node,0.03347618153513255,-1.2390876300958154,10,13,1.0,3.720036378822595e-05,-0.1725404286136487,1
methylocella silvestris,connector_node,0.00032452211421374436,-2.382427579684227,3,3,1.0,1.7380239155164724e-06,-0.300327212544264,1
rhodoplanes spp.,peripheral_node,0.018476679436435765,0.9082005268030882,31,32,0.0615234375,0.19550681918708898,0.16961315322905948,0
sphingobacterium spp.,connector_node,0.019336354635131767,0.4417261042993863,4,6,1.0,0.00017543659676124207,0.12324431749375232,4
spirosoma spp.,connector_node,0.001186749227405389,-1.0757533515831852,11,11,1.0,1.145893491419668e-05,-0.1694677931886398,1
pseudomonas sp.,connector_node,0.004450392914056438,0.7209237120557476,22,22,1.0,2.0376080769493147e-05,-0.5560778287047373,1
hartmannibacter stappia sp.,peripheral_node,0.006153665096789215,0.8116767993167696,30,31,0.06347554630593122,0.19569903612698453,0.052119554731087835,0
aquabacterium spp.,peripheral_node,0.003660559486089697,0.2325344343988584,24,25,0.07840000000000003,0.15969957314198127,-0.12999265807465749,0
neisseria perflava,connector_node,0.0,0,1,1,1.0,3.63517669453447e-37,0.11281021426075195,10
tumebacillus sp.,connector_node,1.8140589569160997e-05,-0.2590819590200339,16,16,1.0,1.3908824352795291e-05,-0.6713058209158554,1
phyllobacterium sp.,connector_node,0.0,0,3,3,1.0,7.8064825091034655e-28,-0.10201679402532819,6
lactobacillus iners,peripheral_node,0.005502405529473228,0.7151530718304511,29,30,0.06555555555555559,0.19101096162448733,0.020628339895741088,0
paenibacillus spp.,peripheral_node,1.7155752782992924e-05,-0.6361791129780084,15,15,0.0,0.10079297858283152,-0.23978600128200897,0
streptococcus thermophilus,connector_node,0.0,-1.120224067222408,2,2,1.0,5.519383370553239e-07,-0.6255105157953146,3
stenoxybacter spp.,peripheral_node,0.006153665096789215,0.8116767993167696,30,31,0.06347554630593122,0.19569903612698447,0.052119554731087835,0
oribacterium sinus,connector_node,0.000369694041813829,0,5,6,0.9722222222222222,0.0026715243125538315,0.5771670333529592,5
flexithrix dorotheae,connector_node,0.019336354635131767,0.4417261042993863,4,6,1.0,0.00017543659676124207,0.12324431749375232,4
flavobacterium sp.,peripheral_node,0.12005205185874118,-1.120224067222408,2,15,0.24888888888888883,0.08624692566755929,-0.5770433863135289,3
prevotella spp.,connector_node,0.0,-0.42008402520840304,3,3,1.0,1.446471003477669e-05,-0.8465923311404405,3
parabacteroides spp.,connector_node,0.0011123204837490551,0.7616135571863155,7,7,1.0,1.853029882566627e-06,-0.34389580599348507,2
enhydrobacter aerosaccus,connector_node,0.027439318350710985,1.8204421610794856,10,10,1.0,1.5123312100464985e-05,-0.49461551913288804,2
fusobacterium nucleatum,connector_node,0.018601998263390887,1.4674992931150956,9,9,1.0,1.5082236410442989e-05,-0.5136772934648108,2
burkholderia ubonensis,peripheral_node,0.1044989505664948,0.522105616857814,27,28,0.07015306122448972,0.17819127335572948,-0.01851556727977413,0
aeromonas spp.,connector_node,0.01841269841269841,0.9801960588196068,5,5,1.0,0.00013153447865895356,-0.9229324233521887,3
corynebacterium tuberculostearicum,connector_node,0.0011123204837490551,0.7616135571863155,7,7,1.0,1.8530298825666274e-06,-0.343895805993485,2
sphingomonas faeni,peripheral_node,0.006153665096789215,0.8116767993167696,30,31,0.06347554630593122,0.19569903612698447,0.052119554731087835,0
prevotella nanceiensis,connector_node,0.01841269841269841,0.9801960588196068,5,5,1.0,0.00013153447865895356,-0.9229324233521887,3
lactobacillus helveticus,connector_node,0.004354470677159753,-0.2972150467068548,4,4,1.0,4.470783433970379e-06,-0.0348629137702731,2
bosea spp.,connector_node,0.0951111111111111,0.9801960588196068,5,5,1.0,0.0032962776157887267,-0.8422741039594835,3
corynebacterium durum,connector_node,0.0,-1.120224067222408,2,2,1.0,5.519383370553239e-07,-0.6255105157953146,3
finegoldia magna,connector_node,0.028247413612888204,0,5,10,0.75,0.016871988003610786,0.7035315066206695,5
granulicatella elegans,connector_node,0.028444444444444442,0.9801960588196068,5,5,1.0,1.4505174091550813e-05,-0.7808624960892481,3
