,node_role,betweenness,within_module_connectivity,within_module_degree,degree,among_module_connectivity,eigenvector_centrality,node_module_membership,modularity
aquabacterium spp.,peripheral_node,0.0028210402585953556,0.7133483310547061,14,14,0.0,0.2668314485757773,-0.5765171203693347,0
staphylococcus aureus,connector_node,0.0,0,6,6,1.0,1.2852244284354525e-12,-0.955501220367199,4
roseburia spp.,connector_node,0.002938583602703495,0.5161854012087639,9,10,1.0,1.774432202883815e-05,-0.7701853651183074,1
paenibacillus spp.,connector_node,0.0,0,1,1,1.0,3.330652895949439e-32,0.07531147131239052,10
elizabethkingia meningoseptica,peripheral_node,0.005318836320893328,0.9145491423778283,15,15,0.0,0.27210025806571436,-0.6425141772961149,0
methylopila sp.,connector_node,0.0,-0.7071067811865474,1,1,1.0,2.4923262701134693e-29,-0.589770841100344,7
acinetobacter lwoffii,connector_node,0.0,0,6,6,1.0,1.2852244284354525e-12,-0.955501220367199,4
parabacteroides spp.,connector_node,0.0,0,1,1,1.0,3.330652895949439e-32,0.07531147131239052,10
aeromonas spp.,connector_node,0.0,0,3,3,1.0,2.288807241988885e-21,0.5420866512965853,6
corynebacterium tuberculostearicum,peripheral_node,0.0028210402585953556,0.7133483310547061,14,14,0.0,0.2668314485757773,-0.5765171203693347,0
bacillus thermoamylovorans,connector_node,0.0,0,3,3,1.0,2.288807241988885e-21,0.5420866512965853,6
rubrivivax gelatinosus,peripheral_node,0.0028210402585953556,0.7133483310547061,14,14,0.0,0.2668314485757773,-0.5765171203693347,0
anaerococcus hydrogenalis,peripheral_node,0.0028210402585953556,0.7133483310547061,14,14,0.0,0.2668314485757773,-0.5765171203693347,0
globicatella spp.,connector_node,0.0,0,3,3,1.0,2.288807241988885e-21,0.5420866512965853,6
dietzia spp.,peripheral_node,0.0028210402585953556,0.7133483310547061,14,14,0.0,0.2668314485757773,-0.5765171203693347,0
actinomyces marimammalium,connector_node,0.0,0,1,1,1.0,3.330652895949439e-32,0.798061284902856,11
veillonella dispar,peripheral_node,0.0028210402585953556,0.7133483310547061,14,14,0.0,0.2668314485757773,-0.5765171203693347,0
