,OTU,aldex2_diff.btw,aldex2_diff.win,aldex2_effect,aldex2_wi.ep,aldex2_wi.eBH,kingdom,phylum,class,order,family,genus,species,aldex2_positive,aldex2_negative,taxrank,test_id
56,OTU_153,0.300651340315205,4.21497740119201,0.0619109497290954,0.495849290254357,0.649470581306364,bacteria,bacteroidetes,bacteroidia,bacteroidales,prolixibacteraceae,prolixibacter,prolixibacter spp.,initial,mid,OTU,i_vs_m
57,OTU_155,-0.924146755133513,4.14664547311478,-0.191517440601932,0.288728753320671,0.453764030826561,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,magnetospirillum,magnetospirillum sp.,initial,mid,OTU,i_vs_m
58,OTU_156,0.0240348882633032,4.13778987237384,0.0051828738200211,0.545659467845272,0.69525285351918,bacteria,proteobacteria,betaproteobacteria,rhodocyclales,rhodocyclaceae,rhodocyclus,rhodocyclus spp.,initial,mid,OTU,i_vs_m
59,OTU_157,-0.56164203593192,4.30562282395833,-0.111435731136706,0.411097465285199,0.56305541679008,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,hyphomicrobiaceae,ancalomicrobium,ancalomicrobium spp.,initial,mid,OTU,i_vs_m
60,OTU_158,1.71134601460475,4.34781637871284,0.343273459778886,0.0663598744238827,0.158085545082724,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,hyphomicrobiaceae,ancalomicrobium,ancalomicrobium spp.,initial,mid,OTU,i_vs_m
61,OTU_159,0.208730071327018,4.25692044739333,0.0405480637180029,0.567283120474815,0.716034868540431,bacteria,bacteroidetes,bacteroidia,bacteroidales,porphyromonadaceae,porphyromonas,porphyromonas spp.,initial,mid,OTU,i_vs_m
62,OTU_16,2.56042842505319,2.30839464498954,1.01843366427635,2.29910209477109e-07,3.633090110979e-06,bacteria,proteobacteria,betaproteobacteria,rhodocyclales,rhodocyclaceae,rhodocyclus,rhodocyclus tenuis,initial,mid,OTU,i_vs_m
63,OTU_160,-0.284244978783889,3.54963937945467,-0.0659905200639121,0.506088589516577,0.664021656045307,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,magnetospirillum,magnetospirillum sp.,initial,mid,OTU,i_vs_m
64,OTU_161,-0.864046212536623,4.17238446478913,-0.176809941226214,0.297097816746039,0.449778320362348,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,initial,mid,OTU,i_vs_m
65,OTU_162,-0.470438949786385,3.83379992124882,-0.106192014658167,0.451150868754081,0.616679767158893,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,bradyrhizobium,bradyrhizobium spp.,initial,mid,OTU,i_vs_m
66,OTU_163,0.625514399720791,4.11394528023034,0.130707678712202,0.405071333180367,0.558965199294007,bacteria,firmicutes,clostridia,clostridiales,eubacteriaceae,eubacterium,eubacterium sp.,initial,mid,OTU,i_vs_m
67,OTU_164,3.64581066576928,3.18528543115784,1.0602827531865,2.94828434855082e-08,4.779645774333e-07,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,afipia,afipia sp.,initial,mid,OTU,i_vs_m
68,OTU_165,-1.16053529878212,4.1131320321388,-0.249899524528177,0.167406326331853,0.296416424718772,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,acetobacteraceae,acetobacter,acetobacter spp.,initial,mid,OTU,i_vs_m
69,OTU_166,1.12967166927747,4.07004293828868,0.227496164383203,0.183504033164644,0.312079568326464,bacteria,bacteroidetes,cytophagia,cytophagales,cytophagaceae,spirosoma,spirosoma spp.,initial,mid,OTU,i_vs_m
70,OTU_167,0.884150160943213,3.94922879931089,0.188218887328053,0.247009169166376,0.410066159830598,bacteria,proteobacteria,gammaproteobacteria,enterobacteriales,enterobacteriaceae,citrobacter,citrobacter sp.,initial,mid,OTU,i_vs_m
71,OTU_168,-0.268859245123008,4.1809864382511,-0.0562191846534594,0.520004474423098,0.67033061085522,bacteria,fibrobacteres,fibrobacteria,fibrobacterales,fibrobacteraceae,fibrobacter,fibrobacter spp.,initial,mid,OTU,i_vs_m
72,OTU_169,-0.861479945733075,4.29677637730661,-0.177556934585955,0.33091689892633,0.486018430509427,bacteria,bacteroidetes,sphingobacteriia,sphingobacteriales,sphingobacteriaceae,sphingobacterium,sphingobacterium spp.,initial,mid,OTU,i_vs_m
73,OTU_17,-1.70921384569515,3.93248856589406,-0.380874557575946,0.0181430036201488,0.0662107273620727,bacteria,bacteroidetes,flavobacteriia,flavobacteriales,flavobacteriaceae,cloacibacterium,cloacibacterium normanense,initial,mid,OTU,i_vs_m
74,OTU_170,-0.230491558864344,4.16936261736579,-0.0486073735548363,0.524229020841444,0.677523580997832,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,initial,mid,OTU,i_vs_m
75,OTU_171,0.154147545241276,3.71046778647027,0.0323496822915193,0.542486472107402,0.696985980594053,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,oligotropha,oligotropha carboxidovorans,initial,mid,OTU,i_vs_m
76,OTU_172,0.610490249933433,4.22366180666584,0.126622918920684,0.418701404966165,0.571117842045132,bacteria,gemmatimonadetes,gemmatimonadetes,gemmatimonadales,gemmatimonadaceae,gemmatimonas,gemmatimonas spp.,initial,mid,OTU,i_vs_m
77,OTU_173,0.33375663602137,3.89448316435733,0.0740187588019675,0.532639688039631,0.687694602775311,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,pseudomonadaceae,pseudomonas,pseudomonas spp.,initial,mid,OTU,i_vs_m
78,OTU_174,-0.598082025353643,4.25556509034333,-0.126560661638313,0.415338223644369,0.568800215624767,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.,initial,mid,OTU,i_vs_m
79,OTU_175,0.105436433016251,4.2176456217622,0.0156809160825992,0.533145563486099,0.683378139507577,bacteria,bacteroidetes,bacteroidia,bacteroidales,porphyromonadaceae,parabacteroides,parabacteroides distasonis,initial,mid,OTU,i_vs_m
80,OTU_176,-0.284974732134405,4.04685111641439,-0.0616077977219674,0.493728991902758,0.653563769167461,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,acetobacteraceae,acetobacter,acetobacter spp.,initial,mid,OTU,i_vs_m
81,OTU_177,0.101049278384628,3.5826787434237,0.0231122979840731,0.597437477025935,0.744430912910234,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,initial,mid,OTU,i_vs_m
82,OTU_178,0.184464858947463,4.22709757484598,0.0385125402501633,0.511100086275269,0.667726886108702,bacteria,proteobacteria,betaproteobacteria,neisseriales,neisseriaceae,neisseria,neisseria perflava,initial,mid,OTU,i_vs_m
83,OTU_179,0.816303718532366,4.22326327373754,0.16650243138349,0.348645951696487,0.50217523229332,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,nitrobacter,nitrobacter spp.,initial,mid,OTU,i_vs_m
84,OTU_18,3.13532952063572,4.03766783515578,0.701103574564935,0.000232385365921,0.00176215268548052,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,pseudomonadaceae,pseudomonas,pseudomonas veronii,initial,mid,OTU,i_vs_m
85,OTU_180,-0.260477433187713,4.13433124180784,-0.0505814205498365,0.493709424552802,0.649722770014662,bacteria,proteobacteria,betaproteobacteria,burkholderiales,burkholderiales,aquabacterium,aquabacterium spp.,initial,mid,OTU,i_vs_m
86,OTU_181,-0.415914734704293,4.24494997938569,-0.0838975416791585,0.476760308229395,0.631608304611211,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.,initial,mid,OTU,i_vs_m
87,OTU_182,-0.128698538638353,4.23652515575838,-0.0286436366549156,0.510777166803912,0.665544667357808,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.,initial,mid,OTU,i_vs_m
88,OTU_183,0.461657828575321,3.90455291427136,0.0946214416402431,0.438673998916079,0.605000400291079,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus,initial,mid,OTU,i_vs_m
89,OTU_184,0.81582182216653,3.9087077188929,0.186828305225183,0.294003394259138,0.438047785557497,bacteria,proteobacteria,betaproteobacteria,rhodocyclales,rhodocyclaceae,rhodocyclus,rhodocyclus tenuis,initial,mid,OTU,i_vs_m
90,OTU_185,0.151905370966279,4.07026185411882,0.0307490755802043,0.563581526201596,0.713294810435502,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,initial,mid,OTU,i_vs_m
91,OTU_186,-0.035528043582481,4.06327100124897,-0.00714193432177399,0.544237434112502,0.698467611416283,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas sp.,initial,mid,OTU,i_vs_m
92,OTU_187,-0.626371962460725,4.26637676068425,-0.128909631626003,0.427424189235205,0.592285223613745,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,magnetospirillum,magnetospirillum sp.,initial,mid,OTU,i_vs_m
93,OTU_188,0.671414850360401,3.93385175365751,0.142380747892702,0.389939407592189,0.540700759424049,bacteria,bacteroidetes,bacteroidia,bacteroidales,prolixibacteraceae,prolixibacter,prolixibacter spp.,initial,mid,OTU,i_vs_m
94,OTU_189,0.308184928847156,3.01177569738244,0.0833532890663224,0.478460916012589,0.64114305724983,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodopseudomonas,rhodopseudomonas sp.,initial,mid,OTU,i_vs_m
95,OTU_19,1.80467709109215,3.67354225591594,0.426064050794746,0.0176146641944588,0.0556230967394666,bacteria,firmicutes,bacilli,lactobacillales,streptococcaceae,streptococcus,streptococcus salivarius,initial,mid,OTU,i_vs_m
96,OTU_190,-0.334689069542978,3.80127496443317,-0.0739719421208917,0.492518718672068,0.647600954293118,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,initial,mid,OTU,i_vs_m
97,OTU_191,-1.21678656585416,3.89858337504444,-0.27469128340893,0.101714786834218,0.213676204437076,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,initial,mid,OTU,i_vs_m
98,OTU_192,0.494512932199676,4.0981574519808,0.103786542869068,0.468418417752663,0.634267468306779,bacteria,bacteroidetes,bacteroidia,bacteroidales,porphyromonadaceae,paludibacter,paludibacter propionicigenes,initial,mid,OTU,i_vs_m
99,OTU_193,-0.16046941943531,4.24457588550345,-0.0360063818717911,0.531338560697035,0.685246102928611,bacteria,firmicutes,bacilli,bacillales,staphylococcaceae,staphylococcus,staphylococcus aureus,initial,mid,OTU,i_vs_m
100,OTU_194,-0.248762462946789,4.25789352245124,-0.0500518824652949,0.490727081804362,0.647564734896294,bacteria,proteobacteria,betaproteobacteria,rhodocyclales,rhodocyclaceae,rhodocyclus,rhodocyclus tenuis,initial,mid,OTU,i_vs_m
101,OTU_195,-0.525361402057897,4.34351840850885,-0.103883355668756,0.444286475262851,0.608929677331707,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,magnetospirillum,magnetospirillum sp.,initial,mid,OTU,i_vs_m
102,OTU_196,2.03357241152547,1.08849993253526,1.81102967120589,8.19146403045781e-13,3.97662070227336e-11,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,brucellaceae,ochrobactrum,ochrobactrum anthropi,initial,mid,OTU,i_vs_m
103,OTU_197,-0.452338888700631,4.22837305705152,-0.0909738978924984,0.501176531441303,0.656752654666452,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.,initial,mid,OTU,i_vs_m
104,OTU_198,0.329841228318569,4.06660834320493,0.067493274328516,0.489281421508914,0.639876278028515,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodopseudomonas,rhodopseudomonas spp.,initial,mid,OTU,i_vs_m
105,OTU_2,0.99539460547118,1.34553667494608,0.624939191441674,0.01251392893717,0.0561974727734189,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,initial,mid,OTU,i_vs_m
106,OTU_20,1.49603446892639,2.59218113573751,0.516097915449715,0.00223349082380464,0.0129536060809239,bacteria,actinobacteria,actinobacteria,actinomycetales,nocardioidaceae,propionicimonas,propionicimonas paludicola,initial,mid,OTU,i_vs_m
107,OTU_200,-0.459227363332801,4.19990740892757,-0.0940969748663895,0.461060233915494,0.617105279861993,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,initial,mid,OTU,i_vs_m
108,OTU_201,-0.168036458808796,4.16502230576616,-0.0318688821915755,0.621688212679087,0.765628201518097,bacteria,bacteroidetes,cytophagia,cytophagales,cytophagaceae,pontibacter,pontibacter spp.,initial,mid,OTU,i_vs_m
109,OTU_202,-0.310150458630055,4.13058891823729,-0.0612255988767485,0.516628828454594,0.670031886486732,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,initial,mid,OTU,i_vs_m
110,OTU_203,0.496058011832849,4.1521605411545,0.0963589956716696,0.427852661617051,0.58773143786722,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,afipia,afipia sp.,initial,mid,OTU,i_vs_m
111,OTU_204,1.06082917867405,3.4209459173382,0.254973924234204,0.0957682508737239,0.21931676154144,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,initial,mid,OTU,i_vs_m
112,OTU_205,0.304404305016062,4.15965574415307,0.0651725160712626,0.504885418028014,0.65912886069061,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,rhodovibrio,rhodovibrio spp.,initial,mid,OTU,i_vs_m
113,OTU_206,-0.384542115771932,4.23522368574771,-0.0783812174205158,0.443214324218102,0.598132243857271,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,hyphomicrobiaceae,rhodoplanes,rhodoplanes spp.,initial,mid,OTU,i_vs_m
