,OTU,ancom_beta,ancom_se,ancom_W,ancom_p_val,ancom_q_val,ancom_diff_abn,kingdom,phylum,class,order,family,genus,species,ancom_positive,ancom_negative,taxrank,test_id
26,OTU_254,0.505838830776631,0.105488442135701,4.79520619070209,1.62507591035299e-06,0.0005980279350099,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,beijerinckiaceae,chelatococcus,chelatococcus spp.,recovering,early,OTU,early_vs_recovering
27,OTU_260,0.0486162190361294,0.0891218599977343,0.545502742395248,0,0,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,recovering,early,OTU,early_vs_recovering
28,OTU_262,0.918795408095044,0.168337058073703,5.45806977149836,4.81338524227386e-08,1.82427300682179e-05,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,bradyrhizobium,bradyrhizobium sp.,recovering,early,OTU,early_vs_recovering
29,OTU_267,0.803846140850934,0.188897256854586,4.25546751835439,2.08612649550103e-05,0.00744747158893867,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,rhizobiaceae,rhizobium,rhizobium sp.,recovering,early,OTU,early_vs_recovering
30,OTU_270,0.405038554911461,0.106065732773541,3.81875035716061,0.000134129414574778,0.0456040009554246,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas sp.,recovering,early,OTU,early_vs_recovering
31,OTU_275,1.64421738250173,0.188797106146542,8.70891199585182,3.06805351802363e-18,1.23028946072747e-15,TRUE,bacteria,firmicutes,clostridia,clostridiales,eubacteriaceae,eubacterium,eubacterium sp.,recovering,early,OTU,early_vs_recovering
32,OTU_276,1.16569280224425,0.122298271499516,9.53155582619061,1.54943436647714e-21,6.27520918423241e-19,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,recovering,early,OTU,early_vs_recovering
33,OTU_28,1.21877953475737,0.187287836332946,6.50752103618044,7.64010556440407e-11,2.97964117011759e-08,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodopseudomonas,rhodopseudomonas spp.,recovering,early,OTU,early_vs_recovering
34,OTU_290,-0.0313623017977105,0.0799949647754664,-0.392053448435657,0,0,TRUE,bacteria,firmicutes,clostridia,clostridiales,lachnospiraceae,oribacterium,oribacterium sinus,recovering,early,OTU,early_vs_recovering
35,OTU_295,-0.345550274831861,0.0902704234813395,-3.82794564936646,0.000129217280126131,0.0440630925230105,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.,recovering,early,OTU,early_vs_recovering
36,OTU_297,2.7999972254957,0.198032108919009,14.1391072426585,2.18032821234976e-45,9.09196864549851e-43,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,recovering,early,OTU,early_vs_recovering
37,OTU_300,0.548290386052789,0.144298978303274,3.79968307814657,0.000144881248040903,0.0488249805897843,TRUE,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,recovering,early,OTU,early_vs_recovering
38,OTU_301,0.0219567120915158,0.0864443952391173,0.253998099365268,0,0,TRUE,bacteria,bacteroidetes,cytophagia,cytophagales,flammeovirgaceae,flexithrix,flexithrix dorotheae,recovering,early,OTU,early_vs_recovering
39,OTU_307,-0.0157674899473965,0.086103256837953,-0.183123037692651,0,0,TRUE,bacteria,proteobacteria,alphaproteobacteria,caulobacterales,caulobacteraceae,brevundimonas,brevundimonas sp.,recovering,early,OTU,early_vs_recovering
40,OTU_310,-0.0202976067034113,0.092361577786249,-0.219762450901236,0,0,TRUE,bacteria,firmicutes,bacilli,bacillales,alicyclobacillaceae,tumebacillus,tumebacillus sp.,recovering,early,OTU,early_vs_recovering
41,OTU_312,-0.352955693427587,0.0916648324921329,-3.85050279187364,0.000117875586409947,0.0403134505522019,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,phaeospirillum,phaeospirillum sp.,recovering,early,OTU,early_vs_recovering
42,OTU_321,1.71282157272179,0.13618913601746,12.5767856586021,2.83325261645268e-36,1.17296658321141e-33,TRUE,bacteria,proteobacteria,gammaproteobacteria,enterobacteriales,enterobacteriaceae,escherichia,escherichia vulneris,recovering,early,OTU,early_vs_recovering
43,OTU_348,0.941424968249335,0.147102724227185,6.39977929161532,1.55601709378455e-10,6.03734632388407e-08,TRUE,bacteria,proteobacteria,gammaproteobacteria,enterobacteriales,enterobacteriaceae,enterobacter,enterobacter sp.,recovering,early,OTU,early_vs_recovering
44,OTU_350,0.021956712091516,0.0836802313076973,0.262388281537844,0,0,TRUE,bacteria,proteobacteria,gammaproteobacteria,xanthomonadales,sinobacteraceae,steroidobacter,steroidobacter spp.,recovering,early,OTU,early_vs_recovering
45,OTU_351,0.0687411476424581,0.101114214980256,0.679836634798388,0,0,TRUE,bacteria,firmicutes,clostridia,clostridiales,eubacteriaceae,eubacterium,eubacterium sp.,recovering,early,OTU,early_vs_recovering
46,OTU_361,1.12963844106458,0.148446729866207,7.60972263978269,2.74684752629342e-14,1.08775162041219e-11,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,recovering,early,OTU,early_vs_recovering
47,OTU_383,-0.867894566664455,0.180039690712612,-4.82057352592229,1.43146084597163e-06,0.00052820905216353,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,recovering,early,OTU,early_vs_recovering
48,OTU_393,-0.788643017684775,0.194435196222576,-4.05607129267887,4.99050325726429e-05,0.0175166664329977,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,recovering,early,OTU,early_vs_recovering
49,OTU_396,-0.390878120041872,0.0883081531236628,-4.42629707694717,0,0,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,magnetospirillum,magnetospirillum sp.,recovering,early,OTU,early_vs_recovering
50,OTU_40,1.25992315168816,0.165463625367375,7.6145022743868,2.64709521528669e-14,1.05089680046882e-11,TRUE,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus sp.,recovering,early,OTU,early_vs_recovering
51,OTU_409,0.732348653919088,0.183865585067027,3.98306542060123,6.80320180888796e-05,0.023743174313019,TRUE,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,recovering,early,OTU,early_vs_recovering
52,OTU_41,0.982430550375199,0.169838429836465,5.78450090077474,7.27279334412186e-09,2.78547985079867e-06,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,recovering,early,OTU,early_vs_recovering
53,OTU_43,-1.55208568394065,0.279692678688058,-5.54925388544651,2.86891305114312e-08,1.09018695943438e-05,TRUE,bacteria,proteobacteria,deltaproteobacteria,desulfovibrionales,desulfovibrionaceae,desulfovibrio,desulfovibrio mexicanus,recovering,early,OTU,early_vs_recovering
54,OTU_446,1.1759545774163,0.192184824994689,6.11887321201766,9.42393464302131e-10,3.63763877220623e-07,TRUE,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,recovering,early,OTU,early_vs_recovering
55,OTU_448,-0.879007569853205,0.18903882158652,-4.64987859359299,3.3213047994029e-06,0.00121227625178206,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,magnetospirillum,magnetospirillum sp.,recovering,early,OTU,early_vs_recovering
56,OTU_45,0.827274890941338,0.182809211454525,4.5253457654519,6.02968422128762e-06,0.0021887753723274,TRUE,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,recovering,early,OTU,early_vs_recovering
57,OTU_450,0.11753004477567,0.0910447237593786,1.29090451288851,0,0,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,beijerinckiaceae,methylocella,methylocella silvestris,recovering,early,OTU,early_vs_recovering
58,OTU_451,2.61879384382774,0.153874698940756,17.0190022261945,5.93737802034418e-65,2.49369876854455e-62,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,afipia,afipia sp.,recovering,early,OTU,early_vs_recovering
59,OTU_460,0.473440205031406,0.121539585512055,3.89535806821102,9.80537669010116e-05,0.033828549580849,TRUE,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,recovering,early,OTU,early_vs_recovering
60,OTU_48,1.36684780033982,0.19201719854212,7.11836132761821,1.09217744404075e-12,4.29225735508015e-10,TRUE,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,recovering,early,OTU,early_vs_recovering
61,OTU_480,-0.723994846820972,0.166845911866311,-4.33930228629809,1.42935797614795e-05,0.00514568871413263,TRUE,bacteria,bacteroidetes,bacteroidia,bacteroidales,porphyromonadaceae,paludibacter,paludibacter propionicigenes,recovering,early,OTU,early_vs_recovering
62,OTU_49,1.43184005338856,0.182630151983056,7.84010765933873,4.50160309728567e-15,1.79613963581698e-12,TRUE,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,recovering,early,OTU,early_vs_recovering
63,OTU_491,0.81944225705585,0.14585378485066,5.61824472292493,1.92907142136387e-08,7.36905282960998e-06,TRUE,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus sp.,recovering,early,OTU,early_vs_recovering
64,OTU_50,1.05099027980865,0.148564361197705,7.07430955402568,1.50194676998194e-12,5.88763133832919e-10,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,rhizobiaceae,rhizobium,rhizobium straminoryzae,recovering,early,OTU,early_vs_recovering
65,OTU_521,3.77014820904385,0.239449832096916,15.7450442793291,7.42791069367172e-56,3.10486666995478e-53,TRUE,bacteria,firmicutes,clostridia,clostridiales,eubacteriaceae,eubacterium,eubacterium sp.,recovering,early,OTU,early_vs_recovering
66,OTU_528,-0.00470279485309727,0.0756712112403965,-0.0621477412084388,0,0,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,recovering,early,OTU,early_vs_recovering
67,OTU_536,2.03063888480453,0.206866626249993,9.81617441931183,9.59145464836969e-23,3.90372204188647e-20,TRUE,bacteria,proteobacteria,alphaproteobacteria,caulobacterales,caulobacteraceae,brevundimonas,brevundimonas sp.,recovering,early,OTU,early_vs_recovering
68,OTU_537,-0.571920690012331,0.137435875587547,-4.16136389110438,3.16352526085056e-05,0.011262149928628,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,recovering,early,OTU,early_vs_recovering
69,OTU_54,1.78462563851046,0.195657047142499,9.12119274298719,7.43020201142747e-20,2.99437141060527e-17,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,phaeospirillum,phaeospirillum sp.,recovering,early,OTU,early_vs_recovering
70,OTU_542,-0.759592613145183,0.196012594621557,-3.87522350087623,0.000106526879042855,0.0366452463907422,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,afipia,afipia sp.,recovering,early,OTU,early_vs_recovering
71,OTU_548,-0.722422440688012,0.146976311146682,-4.91523045483865,8.86780824526015e-07,0.000329882466723678,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,recovering,early,OTU,early_vs_recovering
72,OTU_56,0.715549422887886,0.150949335161749,4.74032841629372,2.13372080804977e-06,0.000783075536554265,TRUE,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,recovering,early,OTU,early_vs_recovering
73,OTU_566,-0.000172678097082435,0.0971395809004006,-0.0017776285987839,0,0,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus,recovering,early,OTU,early_vs_recovering
74,OTU_567,-0.796268074609877,0.195662319006374,-4.06960358363093,4.70931984944233e-05,0.016576805870037,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,recovering,early,OTU,early_vs_recovering
75,OTU_569,1.9340846219714,0.144351004398174,13.3984839941707,6.17108280171793e-41,2.56099936271294e-38,TRUE,bacteria,proteobacteria,alphaproteobacteria,caulobacterales,caulobacteraceae,caulobacter,caulobacter spp.,recovering,early,OTU,early_vs_recovering
76,OTU_584,1.78977449949564,0.234917820901297,7.61872595543796,2.56191713950156e-14,1.01964302152162e-11,TRUE,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,recovering,early,OTU,early_vs_recovering
77,OTU_59,1.12136822704033,0.206024819263856,5.44287931447811,5.2426167490966e-08,1.98170913115851e-05,TRUE,bacteria,bacteroidetes,cytophagia,cytophagales,cytophagaceae,pontibacter,pontibacter sp.,recovering,early,OTU,early_vs_recovering
78,OTU_594,1.46632567461772,0.137383830327408,10.6732041982177,1.35858987703612e-26,5.54304669830735e-24,TRUE,bacteria,proteobacteria,alphaproteobacteria,caulobacterales,caulobacteraceae,brevundimonas,brevundimonas spp.,recovering,early,OTU,early_vs_recovering
79,OTU_595,-0.602022900148821,0.130489202795408,-4.61358401501406,3.95784172329803e-06,0.00144065438728048,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,bradyrhizobium,bradyrhizobium spp.,recovering,early,OTU,early_vs_recovering
80,OTU_596,-0.513919427707715,0.109140843062694,-4.70877274983574,2.49212726508863e-06,0.000912118579022438,TRUE,bacteria,firmicutes,clostridia,clostridiales,clostridiaceae,clostridium,clostridium sp.,recovering,early,OTU,early_vs_recovering
81,OTU_60,0.818226746064785,0.211709138118008,3.86486267592616,0.000111151718004657,0.0381250392755973,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas sp.,recovering,early,OTU,early_vs_recovering
82,OTU_61,-0.88707323984175,0.206112901049863,-4.30382200882781,1.67876552443326e-05,0.00600998057747106,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,recovering,early,OTU,early_vs_recovering
83,OTU_611,0.794925637543789,0.191415497377481,4.15288024446712,3.2831657569017e-05,0.011655238437001,TRUE,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,recovering,early,OTU,early_vs_recovering
84,OTU_617,-0.364804363180749,0.0903398027011271,-4.03813548705257,5.3877733343672e-05,0.0188572066702852,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,afipia,afipia sp.,recovering,early,OTU,early_vs_recovering
85,OTU_620,-0.674011185406509,0.177263022955744,-3.80232252710022,0.000143345946442459,0.0484509298975511,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,afipia,afipia sp.,recovering,early,OTU,early_vs_recovering
86,OTU_622,-0.557567964623208,0.124576157467783,-4.47571972002269,7.61543351517205e-06,0.00275678693249228,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,afipia,afipia sp.,recovering,early,OTU,early_vs_recovering
87,OTU_634,1.13853595030084,0.21186635043696,5.37384038547266,7.70770932873209e-08,2.89809870760327e-05,TRUE,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,recovering,early,OTU,early_vs_recovering
88,OTU_636,-0.738831736803796,0.151526320723644,-4.87593002506337,1.08296996371426e-06,0.00040178185653799,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,magnetospirillum,magnetospirillum sp.,recovering,early,OTU,early_vs_recovering
89,OTU_640,-0.786276062684706,0.18198991615447,-4.32043752367757,1.55720140923712e-05,0.00559035305916125,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,afipia,afipia sp.,recovering,early,OTU,early_vs_recovering
90,OTU_77,1.31969311276137,0.175943056849877,7.50068309821055,6.34861079637216e-14,2.50135265377063e-11,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodopseudomonas,rhodopseudomonas pangongensis,recovering,early,OTU,early_vs_recovering
91,OTU_78,1.28661369789296,0.14672548859798,8.76884929937574,1.80501435764804e-18,7.25615771774511e-16,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,rhodovibrio,rhodovibrio sodomensis,recovering,early,OTU,early_vs_recovering
92,OTU_8,1.55981582814006,0.234375028570312,6.65521338879376,2.82889316135346e-11,1.1060972260892e-08,TRUE,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,recovering,early,OTU,early_vs_recovering
93,OTU_85,1.11996275264263,0.137537070877013,8.14298825401125,3.856396882348e-16,1.5425587529392e-13,TRUE,bacteria,bacteroidetes,bacteroidetes,bacteroidetes order ii. incertae sedis,rhodothermaceae,rhodothermus,rhodothermus spp.,recovering,early,OTU,early_vs_recovering
94,OTU_9,3.71699007482445,0.221131580583115,16.8089517789495,2.09849293330588e-63,8.79268539055165e-61,TRUE,bacteria,firmicutes,clostridia,clostridiales,eubacteriaceae,eubacterium,eubacterium sp.,recovering,early,OTU,early_vs_recovering
95,OTU_95,0.811421536535341,0.145890918224075,5.56183720284132,2.6694926462057e-08,1.01707669820437e-05,TRUE,bacteria,bacteroidetes,bacteroidia,bacteroidales,prolixibacteraceae,prolixibacter,prolixibacter spp.,recovering,early,OTU,early_vs_recovering
96,OTU_99,0.845359002279663,0.138689564172465,6.0953324593942,1.09210239880726e-09,4.20459423540795e-07,TRUE,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,recovering,early,OTU,early_vs_recovering
97,OTU_102,1.30726209392656,0.191547460686894,6.82474249065316,8.80831712358534e-12,8.45598443864193e-10,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodopseudomonas,rhodopseudomonas pangongensis,recovering,early,species,early_vs_recovering
98,OTU_12,-1.96343113297269,0.38129462458782,-5.14938057439221,2.61348115994202e-07,2.35213304394782e-05,TRUE,bacteria,bacteroidetes,bacteroidia,bacteroidales,porphyromonadaceae,paludibacter,paludibacter propionicigenes,recovering,early,species,early_vs_recovering
99,OTU_143,0.796662313355953,0.152615702480682,5.2200546890435,1.7887030280483e-07,1.62771975552395e-05,TRUE,bacteria,gemmatimonadetes,gemmatimonadetes,gemmatimonadales,gemmatimonadaceae,gemmatimonas,gemmatimonas spp.,recovering,early,species,early_vs_recovering
100,OTU_16,1.55712540150735,0.278177039986317,5.59760576064776,2.1733227300892e-08,1.99945691168206e-06,TRUE,bacteria,proteobacteria,betaproteobacteria,rhodocyclales,rhodocyclaceae,rhodocyclus,rhodocyclus tenuis,recovering,early,species,early_vs_recovering
101,OTU_18,0.979648047911409,0.23805356513712,4.115242077333,3.86773275631902e-05,0.00328757284287117,TRUE,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,pseudomonadaceae,pseudomonas,pseudomonas veronii,recovering,early,species,early_vs_recovering
102,OTU_196,1.32519131442989,0.138479760018552,9.56956680349793,1.07354539896591e-21,1.08428085295557e-19,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,brucellaceae,ochrobactrum,ochrobactrum anthropi,recovering,early,species,early_vs_recovering
103,OTU_22,-1.9496083084631,0.327380671497009,-5.95517230613571,2.59797965205489e-09,2.44210087293159e-07,TRUE,bacteria,firmicutes,clostridia,clostridiales,ruminococcaceae,ruminococcus,ruminococcus spp.,recovering,early,species,early_vs_recovering
104,OTU_25,2.49677779489886,0.242813526736165,10.2826964727208,8.43345215463666e-25,8.68645571927576e-23,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,nitrospirillum,azospirillum amazonense,recovering,early,species,early_vs_recovering
105,OTU_251,2.09382199178682,0.176454357276364,11.8660826748952,1.77590167627001e-32,1.88245577684621e-30,TRUE,bacteria,bacteroidetes,cytophagia,cytophagales,cytophagaceae,cytophaga,cytophaga spp.,recovering,early,species,early_vs_recovering
106,OTU_254,0.505004750771864,0.135846661515409,3.71746162282084,0.000201234543900362,0.0169037016876304,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,beijerinckiaceae,chelatococcus,chelatococcus spp.,recovering,early,species,early_vs_recovering
