,ace,chao1,chao1_ci,shannon,simpson,simpson_e
3M7B,85.92834883886367,87.125,"(77.88148862517019, 118.38132933919042)",3.3056687173630164,0.8776816693163637,0.11047823689210425
3M7C,103.56365061588359,107.14285714285714,"(95.20369464435674, 146.474787839273)",3.377792683609006,0.8852608303018463,0.09683799473485213
3M10A,88.0815362939567,88.0,"(84.1587975036574, 104.5740885884679)",3.51626792781926,0.8993311723302265,0.11968146495761656
3M10B,70.82370892609845,73.0,"(64.88479075911933, 103.94411661140349)",3.13307362026138,0.8516297081836007,0.10870796343801341
3M10C,84.0196480048551,83.0,"(73.70342322903684, 115.63345573763975)",3.184559136738669,0.8633654998997222,0.10455422514247734
1G3A,77.2110305284098,72.66666666666667,"(64.45423123947988, 100.40416888002149)",2.8396368868031105,0.8166156118196968,0.08939388344678947
1G3B,80.45376929014371,108.0,"(71.99099258463251, 230.50418828612624)",2.7827975089256327,0.8075445928539846,0.09115805011294036
1G3C,63.896358380944086,63.0,"(59.807967053022765, 78.80278767573611)",2.779087486069528,0.8010666091196335,0.08520013893778983
1G5A,66.34118520485174,64.14285714285714,"(56.05578227890153, 93.63223553700149)",1.631228141182369,0.46580351139402265,0.03532019571588544
1G5B,57.14664246823956,56.0,"(51.32833018923046, 77.10169526513265)",1.8423658977192208,0.554438432220792,0.044887174851469085
1G5C,53.70590880980491,53.666666666666664,"(49.95400373369485, 71.82776996420402)",1.8823994384592486,0.5593104540732172,0.0463096151336814
1G7A,51.57395529640428,47.5,"(44.697262724175935, 61.56870054179042)",2.1763909009971485,0.6554406542972453,0.06596040133788489
1G7B,54.61559322033898,53.5,"(47.773814628849415, 77.71131813051213)",2.104723256790569,0.6183845482793533,0.05696606449441222
1G7C,55.36642841188295,50.27272727272727,"(47.68513736699209, 62.632987365257236)",1.8364880551405198,0.5144599318671504,0.04382047361508241
1G10A,59.855185570586194,51.857142857142854,"(45.9618549649612, 75.46751160515683)",2.7089025655398014,0.8004181775388177,0.11387446234835875
1G10B,47.20977877688652,44.875,"(43.293317118031354, 54.98574779268159)",2.7484690501591214,0.7961856449724173,0.11410292444975774
1G10C,64.91313531353136,66.0,"(57.88479075911932, 96.94411661140349)",2.774908536347669,0.7841475741466115,0.08423263305906813
2G3A,83.19685902118334,101.25,"(74.59264505484958, 189.20609818360242)",2.6220040358283416,0.7940771985876448,0.07708236175959245
2G3B,63.155223499533044,60.875,"(55.70930774302249, 81.65191065970504)",2.5350355809093292,0.778010589425039,0.08342072926161138
2G3C,91.92570591549294,85.9090909090909,"(76.51662185637335, 114.83351940219717)",2.631144604345689,0.7964054902745664,0.06821838618152996
2G5A,92.730674065391,81.33333333333333,"(73.57202626353067, 105.9584266655103)",2.6118207230299952,0.7639882210239083,0.06052966656025013
2G5B,98.81565217391304,92.54545454545455,"(82.18034719536126, 123.64960627372395)",2.70367307532343,0.7915861592252124,0.06231358214374437
2G5C,85.57869789715441,79.9090909090909,"(72.33550215370148, 104.6792647640007)",2.6958957200234166,0.8005706181459051,0.07267110537298606
2G7A,100.64011592802802,90.92857142857143,"(83.53450288626898, 113.79079811573212)",3.105579777959219,0.8551132950355256,0.08627430655604286
2G7B,102.23191094619666,99.3,"(88.96328868195762, 131.16429266968808)",3.0503043778806678,0.8467891362867073,0.07770181314974882
2G7C,120.458541799707,113.46153846153845,"(101.08658982408775, 147.4462257152998)",3.0779648459342206,0.847336625180883,0.06968467639959619
2G10A,83.25119292902147,79.1,"(72.59103437093363, 101.96020899180937)",3.013238696730151,0.8342544968442828,0.08619065985936833
2G10B,84.70131262968921,83.0,"(72.5774112091541, 117.15442151013983)",3.149287389853461,0.8670292739724459,0.11059488650076135
2G10C,74.07492195629553,69.71428571428571,"(66.184933405681, 83.75589774865516)",3.046120413769303,0.8429186242106995,0.09794041659815471
3G3A,67.41851851851851,62.666666666666664,"(56.37226218125766, 85.66223012976194)",2.2445595122090687,0.6437742015105243,0.05198533794307889
3G3B,73.91434547495153,68.11111111111111,"(60.88543585284404, 93.43123920099168)",2.0925305201401674,0.607780130301717,0.04395845453624733
3G3C,70.89249396320103,71.0,"(61.70342322903685, 103.63345573763975)",2.013981881939885,0.5722889545261209,0.0403108114527236
3G5A,84.01730103806227,97.0,"(71.23520702321997, 177.02007087085465)",3.0365388914638496,0.8385104480240244,0.10495510288426811
3G5B,85.67435681259823,87.125,"(77.88148862517019, 118.38132933919042)",3.0162226670351893,0.839637158289454,0.08426835898745995
3G5C,83.67872592219565,83.25,"(77.16205734226547, 106.48043239624816)",2.9551432226936587,0.8208631356145988,0.07443098537578251
3G7A,96.6148906649357,108.5,"(89.18330705189223, 168.448528989634)",2.8250158152470766,0.7858405782954542,0.0583677332545518
3G7B,78.99456886414717,89.5,"(75.21520254093649, 142.91183746273424)",2.8418148122567737,0.809638220012429,0.07504507620514489
3G7C,82.86815478009278,82.75,"(75.67446049533807, 108.54455194447871)",2.96972363150335,0.8290457914213442,0.0801304059775959
3G10A,77.45506959145986,103.0,"(78.28152885833781, 201.49745881807806)",2.88366515522514,0.7984879722055078,0.07089261341900281
3G10B,83.66875782972235,91.0,"(74.12054895334897, 147.8926395666577)",2.873839324796522,0.820843642337776,0.08330920168888567
