,node_module_membership,within_module_degree,betweenness,modularity,within_module_connectivity,among_module_connectivity,eigenvector_centrality,degree,node_role
enterobacter spp.,-0.673345752691096,1,0.0,1,-1.559723283327614,1.0,0.0002580673335762445,1,connector_node
prolixibacter spp.,0.8054846974890197,2,0.01652609938324224,5,0.0,0.8888888888888888,0.005128772684783838,3,connector_node
cloacibacterium normanense,-0.473804947421025,11,0.256177606177606,2,2.0997065920056186,1.0,0.00016502838021241603,12,connector_node
rhodopseudomonas rhenobacensis,-0.13725694748640518,8,0.06059228871728877,2,0.9637997471501202,1.0,0.000158970848556591,8,connector_node
pleomorphomonas sp.,0.6995439628525747,3,0.01898326898326898,5,1.118033988749895,0.9375,0.0009707916934781974,4,connector_node
citrobacter spp.,-0.548068577830288,5,0.0,2,-0.1721070977053784,1.0,2.295116645142435e-05,5,connector_node
bradyrhizobium sp.,0.7616766100875572,3,0.034383242240385095,5,1.118033988749895,0.9375,0.005161163672942822,4,connector_node
acidovorax caeni,-0.18881684163061943,4,0.0,4,-0.7071067811865474,1.0,3.1819636978440263e-07,4,connector_node
fibrobacter spp.,-0.8666730390192503,13,0.007635603774292377,1,1.147720906599565,1.0,0.014806968539541084,13,connector_node
chlorobium spp.,-0.8157060183124701,6,0.016075080953991745,1,-0.4316215375246227,1.0,0.006170024290162928,6,connector_node
bradyrhizobium yuanmingense,-0.316576324974538,9,0.02074217074217074,2,1.342435362101953,1.0,4.1421908224198954e-05,9,connector_node
inquilinus spp.,-0.760684780631162,9,0.0010884885956890557,1,0.2452395099571721,1.0,0.010180682793182901,9,connector_node
dechloromonas agitata,-0.14938221188128623,8,0.00437044187044187,2,0.9637997471501202,1.0,5.5432174977280184e-05,8,connector_node
acidovorax spp.,0.11172288592693744,5,0.043669562419562415,4,-0.17677669529663673,1.0,4.313375720690428e-06,6,connector_node
opitutus sp.,0.3085973381071102,11,0.37953034655137946,0,0.6259728350217142,0.15972222222222232,0.23495057803961375,12,peripheral_node
methylocella palustris,0.5048686954485889,2,0.035392535392535396,6,1.0,1.0,0.000408019469956691,2,connector_node
beijerinckia spp.,-0.8466978702594736,4,0.0,2,-0.5507427126572113,1.0,6.460222151717533e-06,4,connector_node
rhodocyclus spp.,0.5222044526325819,1,0.0,6,-1.0,1.0,2.7907040492569106e-06,1,connector_node
bradyrhizobium elkanii,0.5074571398795894,2,0.01785714285714286,6,1.0,1.0,3.385926647512067e-05,2,connector_node
ochrobactrum anthropi,0.3461465199919162,15,0.01293859900807887,0,1.3948843489066545,0.0,0.2758637217040628,15,peripheral_node
nitrospirillum azospirillum amazonense,0.13498579458829374,15,0.1106017328160094,0,1.3948843489066545,0.0,0.20536520782129875,15,peripheral_node
acinetobacter junii,-0.14397456939378983,5,0.04849045474045475,2,-0.1721070977053784,1.0,3.4324326577773645e-05,6,connector_node
propionibacterium acnes,0.13574082810691404,2,0.09084620334620343,4,-1.7677669529663687,1.0,1.4112471615791655e-05,3,connector_node
brevundimonas sp.,0.29276312720984604,17,0.036328206244120705,0,1.7793401058491245,0.0,0.3033012051297922,17,peripheral_node
rhizobium petrolearium,0.22213655028935678,2,0.00201858630430059,0,-1.1040780712194014,0.5555555555555556,0.0014085423451255822,3,peripheral_node
escherichia vulneris,0.1848702153577175,17,0.054251872260887936,0,1.7793401058491245,0.0,0.2647680745326941,17,peripheral_node
brevundimonas spp.,0.2777035447478395,10,0.0015592310479952364,0,0.4337449565504791,0.0,0.18225589382218582,10,peripheral_node
parabacteroides distasonis,-0.8032101602018088,13,0.007635603774292377,1,1.147720906599565,1.0,0.014806968539541084,13,connector_node
nitrobacter hamburgensis,0.15533271479501679,1,0.0,0,-1.2963059496906364,0.0,0.004623372562964789,1,peripheral_node
methylocystis heyerii,-0.05165080794924183,9,0.0,3,0.21596710639534022,1.0,0.00024234449651737173,9,connector_node
micrococcus luteus,-0.12667278989123734,4,0.0007158944658944659,2,-0.5507427126572113,1.0,2.3903512341217403e-05,4,connector_node
pseudomonas veronii,0.0903570874788771,5,0.0038087194337194405,2,-0.1721070977053784,1.0,2.4455235171075507e-05,5,connector_node
streptococcus salivarius,-0.10571542535923274,1,0.0,0,-1.2963059496906364,0.0,0.004260905203265692,1,peripheral_node
zoogloea sp.,0.1316873895679066,7,0.0011824324324324325,4,0.8838834764831845,1.0,6.954000237376398e-07,7,connector_node
cytophaga spp.,0.26553840150767977,15,0.2367619369124047,0,1.3948843489066545,0.0,0.2603820227915765,15,peripheral_node
rhizobium straminoryzae,0.41172442121802705,10,0.014633200406314885,0,0.4337449565504791,0.0,0.1984347037883984,10,peripheral_node
methanosaeta sp.,0.780079635725828,1,0.05260617760617761,6,-1.0,0.75,0.0049165878574463605,2,connector_node
pontibacter korlensis,-0.6634781265140196,15,0.0657584541357673,1,1.5989616049207618,1.0,0.014282336802954137,15,connector_node
bacteroides fragilis,-0.7467225375042013,8,0.010376860376860387,1,0.01961916079657385,1.0,0.010048378092909352,8,connector_node
rhodothermus spp.,0.3198932531899825,11,0.019242795321327975,0,0.6259728350217142,0.0,0.1834827192196244,11,peripheral_node
rhodovibrio sodomensis,0.22908960883524757,13,0.10432679098260232,0,1.0104285919641842,0.0,0.25008414002413026,13,peripheral_node
rhizobium sp.,0.31163529596583306,5,0.10207552690174623,0,-0.5273944358056962,0.4897959183673469,0.05609477303290397,7,peripheral_node
enterobacter sp.,0.39318163923089994,7,0.04944306663723065,0,-0.1429386788632261,0.0,0.07914596515180221,7,peripheral_node
bacteroides caccae,-0.7842624812508823,6,0.0,1,-0.4316215375246227,1.0,0.0067829785854203704,6,connector_node
citrobacter sp.,-0.6207789875542012,1,0.0,2,-1.6866495575127098,1.0,5.36309093273786e-07,1,connector_node
hydrogenophaga spp.,0.1316873895679066,7,0.0011824324324324325,4,0.8838834764831845,1.0,6.954000237376398e-07,7,connector_node
rhodovibrio spp.,0.20028983954067683,2,0.1640926640926641,3,-3.1099263320928956,0.8888888888888888,0.00498548385560559,3,connector_node
ochrobactrum intermedium,0.008204886409986777,7,0.013217408163566402,0,-0.1429386788632261,0.0,0.07323493357330975,7,peripheral_node
pseudochrobactrum kiredjianiae,0.47804111458897236,2,0.017857142857142856,2,-1.308013942560877,1.0,3.3058270481639704e-06,2,connector_node
steroidobacter spp.,0.4430683407094308,3,0.0009539523399325777,0,-0.9118501927481664,0.0,0.004626095706507515,3,peripheral_node
salinibacter spp.,-0.26498311647721123,7,0.01876876876876877,1,-0.20600118836402442,1.0,0.003934106732188055,7,connector_node
pantoea agglomerans,-0.8489294272647312,13,0.026355816544165796,1,1.147720906599565,1.0,0.014134117574149297,13,connector_node
chelatococcus spp.,0.17150509304219813,11,0.027462448585401065,0,0.6259728350217142,0.0,0.17858583141879805,11,peripheral_node
streptococcus sanguinis,0.17780714293774658,8,0.04194819819819816,2,0.9637997471501202,1.0,3.9805817086757896e-05,8,connector_node
afipia broomeae,0.28713657637114975,4,0.0,4,-0.7071067811865474,1.0,3.1819636978440263e-07,4,connector_node
prevotella sp.,-0.040071592346357765,9,0.0,3,0.21596710639534022,1.0,0.00024234449651737173,9,connector_node
thioalkalivibrio spp.,-0.10701545547771671,1,0.0,0,-1.2963059496906364,0.0,0.00359105912378929,1,peripheral_node
methyloligella halotolerans,0.26096195326822624,11,0.004135511362669664,0,0.6259728350217142,0.0,0.2183073148287026,11,peripheral_node
porphyromonas spp.,-0.06874432487077668,9,0.0,3,0.21596710639534022,1.0,0.00024234449651737173,9,connector_node
methylocella silvestris,0.22221549333171997,3,0.24115186615186615,0,-0.9118501927481664,0.64,0.05924428803989567,5,connector_node
rhodoplanes spp.,-0.648500801982917,4,0.017857142857142856,1,-0.8828622358458192,1.0,0.003129287974571145,4,connector_node
sphingobacterium spp.,-0.27841499613369103,1,0.0,1,-1.559723283327614,1.0,0.0003244480758023035,1,connector_node
nitrobacter spp.,-0.04016272044899183,4,0.017857142857142856,0,-0.7196223142769312,0.0,0.04356982885102644,4,peripheral_node
spirosoma spp.,0.07758389854995819,4,0.017986557495486066,0,-0.7196223142769312,0.0,0.05169699055674242,4,peripheral_node
pseudomonas sp.,0.18719172578688545,7,0.021053030675585654,0,-0.1429386788632261,0.0,0.10105293194223049,7,peripheral_node
hartmannibacter stappia sp.,-0.773793731613567,2,8.043758043758043e-05,1,-1.3341029341670156,1.0,0.0006091004892711383,2,connector_node
neisseria perflava,-0.017454499725076608,10,0.06628056628056628,3,0.6910947404650882,1.0,0.0006219632641986438,10,connector_node
tumebacillus sp.,0.39973137119158914,5,0.0002865752821205423,0,-0.5273944358056962,0.0,0.0865042408513993,5,peripheral_node
staphylococcus aureus,-0.6624945495005834,5,0.017857142857142856,2,-0.1721070977053784,1.0,6.501097055035732e-06,5,connector_node
phyllobacterium sp.,0.3538500979970902,5,0.01825227970291664,0,-0.5273944358056962,0.0,0.011492778089450267,5,peripheral_node
lactobacillus iners,-0.05165080794924183,9,0.0,3,0.21596710639534022,1.0,0.00024234449651737173,9,connector_node
roseburia spp.,-0.05165080794924183,9,0.0,3,0.21596710639534022,1.0,0.00024234449651737173,9,connector_node
paenibacillus spp.,-0.269492222302008,4,0.0,1,-0.8828622358458192,1.0,0.001798971833543806,4,connector_node
streptococcus thermophilus,-0.08779421899453778,1,0.0,0,-1.2963059496906364,0.0,0.0014182648301163771,1,peripheral_node
oribacterium sinus,0.3272869490086255,7,0.02048349512121938,0,-0.1429386788632261,0.0,0.043226502076232416,7,peripheral_node
flexithrix dorotheae,0.06044375029851112,6,0.0038046644459972002,0,-0.33516655733446116,0.0,0.05490234580145019,6,peripheral_node
methylococcus capsulatus,-0.0715510655050678,3,0.017857142857142856,0,-0.9118501927481664,0.0,0.017207619155807475,3,peripheral_node
flavobacterium sp.,0.24791357637743686,3,0.0,0,-0.9118501927481664,0.0,0.011033271823865322,3,peripheral_node
enhydrobacter aerosaccus,0.1316873895679066,7,0.0011824324324324325,4,0.8838834764831845,1.0,6.954000237376398e-07,7,connector_node
prevotella pallens,0.01206348880983657,9,0.0,3,0.21596710639534022,1.0,0.00024234449651737173,9,connector_node
fusobacterium nucleatum,0.5458784018529496,1,0.0,2,-1.6866495575127098,1.0,2.727016171671893e-07,1,connector_node
aeromonas spp.,-0.05165080794924183,9,0.0,3,0.21596710639534022,1.0,0.00024234449651737173,9,connector_node
methylocystis sp.,-0.269492222302008,4,0.0,1,-0.8828622358458192,1.0,0.001798971833543806,4,connector_node
corynebacterium tuberculostearicum,-0.7652542668836557,7,0.017213642213642213,2,0.5851641321982873,1.0,2.3938919232565643e-05,7,connector_node
prevotella nanceiensis,0.0693501115973227,10,0.06628056628056628,3,0.6910947404650882,1.0,0.0006219632641986438,10,connector_node
bacillus thermoamylovorans,-0.7652542668836557,7,0.017213642213642213,2,0.5851641321982873,1.0,2.3938919232565643e-05,7,connector_node
bosea spp.,-0.269492222302008,4,0.0,1,-0.8828622358458192,1.0,0.001798971833543806,4,connector_node
