,test_id,R2,p_value,p_value_dispersion,adjusted_p_value,significant
26,l_vs_m_order,0.153496312585289,9.99900009999e-05,0.149,9.99900009999e-05,TRUE
27,l_vs_m_class,0.138469360820536,9.99900009999e-05,0.137,9.99900009999e-05,TRUE
28,l_vs_m_phylum,0.138391128448923,9.99900009999e-05,0.069,9.99900009999e-05,TRUE
29,all_focused.cluster_OTU-level,0.585541385878212,9.99900009999e-05,0.379,9.99900009999e-05,TRUE
30,all_focused.cluster_species,0.586912387375056,9.99900009999e-05,0.033,9.99900009999e-05,FALSE
31,all_focused.cluster_genus,0.597168761065528,9.99900009999e-05,0.005,9.99900009999e-05,FALSE
32,all_focused.cluster_family,0.616687883774171,9.99900009999e-05,0.02,9.99900009999e-05,FALSE
33,all_focused.cluster_order,0.592150492963244,9.99900009999e-05,0.177,9.99900009999e-05,TRUE
34,all_focused.cluster_class,0.597185267773516,9.99900009999e-05,0.16,9.99900009999e-05,TRUE
35,all_focused.cluster_phylum,0.616440796868104,9.99900009999e-05,0.045,9.99900009999e-05,FALSE
36,p_focused.cluster_OTU-level,0.387535999926294,9.99900009999e-05,0.807,9.99900009999e-05,TRUE
37,p_focused.cluster_species,0.353335782046579,9.99900009999e-05,0.44,9.99900009999e-05,TRUE
38,p_focused.cluster_genus,0.381088861545829,9.99900009999e-05,0.231,9.99900009999e-05,TRUE
39,p_focused.cluster_family,0.379741860519726,9.99900009999e-05,0.395,9.99900009999e-05,TRUE
40,p_focused.cluster_order,0.332466682138274,9.99900009999e-05,0.877,9.99900009999e-05,TRUE
41,p_focused.cluster_class,0.193462557271589,0.0001999800019998,0.804,0.0001999800019998,TRUE
42,p_focused.cluster_phylum,0.295082395100703,9.99900009999e-05,0.926,9.99900009999e-05,TRUE
43,m_focused.cluster_OTU-level,0.340715529183014,9.99900009999e-05,0.386,9.99900009999e-05,TRUE
44,m_focused.cluster_species,0.329156574396922,9.99900009999e-05,0.246,9.99900009999e-05,TRUE
45,m_focused.cluster_genus,0.350213365030059,9.99900009999e-05,0.115,9.99900009999e-05,TRUE
46,m_focused.cluster_family,0.338225316082346,9.99900009999e-05,0.275,9.99900009999e-05,TRUE
47,m_focused.cluster_order,0.301049462036111,9.99900009999e-05,0.452,9.99900009999e-05,TRUE
48,m_focused.cluster_class,0.304638295089929,9.99900009999e-05,0.642,9.99900009999e-05,TRUE
49,m_focused.cluster_phylum,0.325247251280104,0.0001999800019998,0.14,0.0001999800019998,TRUE
50,l_focused.cluster_OTU-level,0.371727855738995,9.99900009999e-05,0.254,9.99900009999e-05,TRUE
51,l_focused.cluster_species,0.46030361347228,9.99900009999e-05,0.171,9.99900009999e-05,TRUE
52,l_focused.cluster_genus,0.469549786261356,9.99900009999e-05,0.088,9.99900009999e-05,TRUE
53,l_focused.cluster_family,0.496932917339838,9.99900009999e-05,0.067,9.99900009999e-05,TRUE
54,l_focused.cluster_order,0.477236019064976,9.99900009999e-05,0.19,9.99900009999e-05,TRUE
55,l_focused.cluster_class,0.511150262213076,9.99900009999e-05,0.093,9.99900009999e-05,TRUE
56,l_focused.cluster_phylum,0.548259653490401,9.99900009999e-05,0.311,9.99900009999e-05,TRUE
57,pG_vs_pM_OTU-level,0.387535999926294,9.99900009999e-05,0.829,9.99900009999e-05,TRUE
58,pG_vs_pM_species,0.353335782046579,9.99900009999e-05,0.439,9.99900009999e-05,TRUE
59,pG_vs_pM_genus,0.381088861545829,9.99900009999e-05,0.209,9.99900009999e-05,TRUE
60,pG_vs_pM_family,0.379741860519726,9.99900009999e-05,0.425,9.99900009999e-05,TRUE
61,pG_vs_pM_order,0.332466682138274,9.99900009999e-05,0.879,9.99900009999e-05,TRUE
62,pG_vs_pM_class,0.193462557271589,9.99900009999e-05,0.762,9.99900009999e-05,TRUE
63,pG_vs_pM_phylum,0.295082395100703,9.99900009999e-05,0.93,9.99900009999e-05,TRUE
64,mC_vs_mM_OTU-level,0.328718031661456,0.0001999800019998,0.155,0.0001999800019998,TRUE
65,mC_vs_mM_species,0.337517231654306,0.0001999800019998,0.106,0.0001999800019998,TRUE
66,mC_vs_mM_genus,0.368486676444186,0.0001999800019998,0.029,0.0001999800019998,FALSE
67,mC_vs_mM_family,0.32759828194296,0.0001999800019998,0.12,0.0001999800019998,TRUE
68,mC_vs_mM_order,0.312387751703769,0.0001999800019998,0.228,0.0001999800019998,TRUE
69,mC_vs_mM_class,0.315985959146696,0.0001999800019998,0.383,0.0001999800019998,TRUE
70,mC_vs_mM_phylum,0.347511325178934,0.0002999700029997,0.043,0.0002999700029997,FALSE
71,mC_vs_mG_OTU-level,0.321382878806817,0.0001999800019998,0.357,0.0001999800019998,TRUE
72,mC_vs_mG_species,0.281073997609923,9.99900009999e-05,0.447,9.99900009999e-05,TRUE
73,mC_vs_mG_genus,0.304541361392329,0.0001999800019998,0.172,0.0001999800019998,TRUE
74,mC_vs_mG_family,0.322253319455925,0.0001999800019998,0.467,0.0001999800019998,TRUE
75,mC_vs_mG_order,0.267421511639959,0.0001999800019998,0.5,0.0001999800019998,TRUE
76,mC_vs_mG_class,0.256770797413892,0.0002999700029997,0.804,0.0002999700029997,TRUE
77,mC_vs_mG_phylum,0.392652576185623,9.99900009999e-05,0.322,9.99900009999e-05,TRUE
78,mG_vs_mM_OTU-level,0.202001897257951,0.0013998600139986,0.62,0.0013998600139986,TRUE
79,mG_vs_mM_species,0.192664854714802,0.0056994300569943,0.39,0.0056994300569943,TRUE
80,mG_vs_mM_genus,0.196969762517898,0.0057994200579942,0.47,0.0057994200579942,TRUE
81,mG_vs_mM_family,0.195428982153029,0.0036996300369963,0.366,0.0036996300369963,TRUE
82,mG_vs_mM_order,0.161244268132074,0.0211978802119788,0.541,0.0211978802119788,TRUE
83,mG_vs_mM_class,0.171018253854795,0.016998300169983,0.474,0.016998300169983,TRUE
84,mG_vs_mM_phylum,0.0895688443526087,0.166983301669833,0.33,0.166983301669833,FALSE
85,lC_vs_lM_OTU-level,0.363308251906144,9.99900009999e-05,0.629,9.99900009999e-05,TRUE
86,lC_vs_lM_species,0.461109460996502,0.0001999800019998,0.371,0.0001999800019998,TRUE
87,lC_vs_lM_genus,0.457583630207917,9.99900009999e-05,0.38,9.99900009999e-05,TRUE
88,lC_vs_lM_family,0.474838893861067,9.99900009999e-05,0.505,9.99900009999e-05,TRUE
89,lC_vs_lM_order,0.486536523650258,9.99900009999e-05,0.25,9.99900009999e-05,TRUE
90,lC_vs_lM_class,0.521352554223325,9.99900009999e-05,0.076,9.99900009999e-05,TRUE
91,lC_vs_lM_phylum,0.589953545981746,9.99900009999e-05,0.88,9.99900009999e-05,TRUE
92,lC_vs_lG_OTU-level,0.37395544412056,9.99900009999e-05,0.1,9.99900009999e-05,TRUE
93,lC_vs_lG_species,0.463569474422801,9.99900009999e-05,0.042,9.99900009999e-05,FALSE
94,lC_vs_lG_genus,0.478768846235606,9.99900009999e-05,0.022,9.99900009999e-05,FALSE
95,lC_vs_lG_family,0.522838500062155,9.99900009999e-05,0.023,9.99900009999e-05,FALSE
96,lC_vs_lG_order,0.462659178452052,9.99900009999e-05,0.062,9.99900009999e-05,TRUE
97,lC_vs_lG_class,0.484716211307019,9.99900009999e-05,0.036,9.99900009999e-05,FALSE
98,lC_vs_lG_phylum,0.560375912162145,9.99900009999e-05,0.468,9.99900009999e-05,TRUE
99,lG_vs_lM_OTU-level,0.154404401361576,0.0011998800119988,0.288,0.0011998800119988,TRUE
100,lG_vs_lM_species,0.167570102194915,0.0007999200079992,0.349,0.0007999200079992,TRUE
101,lG_vs_lM_genus,0.180489514816575,0.0007999200079992,0.163,0.0007999200079992,TRUE
102,lG_vs_lM_family,0.166727757691329,0.0007999200079992,0.091,0.0007999200079992,TRUE
103,lG_vs_lM_order,0.156608352057145,0.0054994500549945,0.433,0.0054994500549945,TRUE
104,lG_vs_lM_class,0.190264692160842,0.0004999500049995,0.652,0.0004999500049995,TRUE
105,lG_vs_lM_phylum,0.105066570454546,0.0528947105289471,0.169,0.0528947105289471,FALSE
106,lC_vs_pG_OTU-level,0.375652824201203,9.99900009999e-05,0.074,9.99900009999e-05,TRUE
107,lC_vs_pG_species,0.271120883043254,9.99900009999e-05,0.014,9.99900009999e-05,FALSE
108,lC_vs_pG_genus,0.283741253309646,9.99900009999e-05,0.004,9.99900009999e-05,FALSE
109,lC_vs_pG_family,0.309605444465806,9.99900009999e-05,0.008,9.99900009999e-05,FALSE
110,lC_vs_pG_order,0.30407807312307,9.99900009999e-05,0.01,9.99900009999e-05,FALSE
111,lC_vs_pG_class,0.262422264633978,9.99900009999e-05,0.005,9.99900009999e-05,FALSE
112,lC_vs_pG_phylum,0.406285747369922,9.99900009999e-05,0.012,9.99900009999e-05,FALSE
113,lC_vs_pM_OTU-level,0.458550997785036,9.99900009999e-05,0.024,9.99900009999e-05,FALSE
114,lC_vs_pM_species,0.325459335830747,9.99900009999e-05,0.002,9.99900009999e-05,FALSE
115,lC_vs_pM_genus,0.334448484070717,9.99900009999e-05,0.001,9.99900009999e-05,FALSE
116,lC_vs_pM_family,0.332721987129415,9.99900009999e-05,0.001,9.99900009999e-05,FALSE
117,lC_vs_pM_order,0.343982135344477,9.99900009999e-05,0.004,9.99900009999e-05,FALSE
118,lC_vs_pM_class,0.237263006186102,9.99900009999e-05,0.005,9.99900009999e-05,FALSE
119,lC_vs_pM_phylum,0.357388104972439,9.99900009999e-05,0.007,9.99900009999e-05,FALSE
120,lC_vs_mC_OTU-level,0.331917510410197,0.0001999800019998,0.099,0.0001999800019998,TRUE
121,lC_vs_mC_species,0.331211077185691,9.99900009999e-05,0.107,9.99900009999e-05,TRUE
122,lC_vs_mC_genus,0.348860863278502,9.99900009999e-05,0.017,9.99900009999e-05,FALSE
123,lC_vs_mC_family,0.305817174732202,0.0003999600039996,0.031,0.0003999600039996,FALSE
124,lC_vs_mC_order,0.317051709378072,0.0003999600039996,0.038,0.0003999600039996,FALSE
125,lC_vs_mC_class,0.280940046770284,0.0001999800019998,0.035,0.0001999800019998,FALSE
126,lC_vs_mC_phylum,0.468180622887691,0.0002999700029997,0.095,0.0002999700029997,TRUE
127,lC_vs_mG_OTU-level,0.466359393478766,9.99900009999e-05,0.388,9.99900009999e-05,TRUE
128,lC_vs_mG_species,0.433161419784787,9.99900009999e-05,0.259,9.99900009999e-05,TRUE
129,lC_vs_mG_genus,0.44441204239356,9.99900009999e-05,0.227,9.99900009999e-05,TRUE
130,lC_vs_mG_family,0.464221768868101,9.99900009999e-05,0.139,9.99900009999e-05,TRUE
131,lC_vs_mG_order,0.435314901242122,9.99900009999e-05,0.103,9.99900009999e-05,TRUE
132,lC_vs_mG_class,0.396533587257106,9.99900009999e-05,0.057,9.99900009999e-05,TRUE
133,lC_vs_mG_phylum,0.582261648344239,9.99900009999e-05,0.535,9.99900009999e-05,TRUE
134,lC_vs_mM_OTU-level,0.401332751306226,9.99900009999e-05,0.617,9.99900009999e-05,TRUE
135,lC_vs_mM_species,0.376992434552126,9.99900009999e-05,0.547,9.99900009999e-05,TRUE
136,lC_vs_mM_genus,0.38469473013716,9.99900009999e-05,0.426,9.99900009999e-05,TRUE
137,lC_vs_mM_family,0.394609521543218,9.99900009999e-05,0.362,9.99900009999e-05,TRUE
138,lC_vs_mM_order,0.383267516654943,9.99900009999e-05,0.268,9.99900009999e-05,TRUE
139,lC_vs_mM_class,0.371226853857876,9.99900009999e-05,0.192,9.99900009999e-05,TRUE
140,lC_vs_mM_phylum,0.472355530190208,9.99900009999e-05,0.717,9.99900009999e-05,TRUE
